"","decimallongitude","decimallatitude","DOI","Year","Paper_ID","Rhodolith.beds","Chemical.ecology","Reproduction","Holobiont","Deep.reefs","Climate.change","Fisheries","Methods","Taxonomy...Systematics","Macroalgae...Herbivory","Habitat.structure","Oceanic.islands","Trophic.ecology...Nursery.habitats","Geomorphology...Paleontology","Oceanography...Productivity","Demography","Anthozoan.biology","Hydrodynamics","Fish.interactions","Invasive.species","Biogeography...Phylogeography","Tourism...Pollution","Distribution.limits","Cytogenetics","Conservation...Management","pts_mpas","data","PAPER_ID","Institution.corresponnding","Region"
"http://dx.doi.org/10.1007/s10750-020-04183-4.extracted_coords.1",-44.154,-23.134,"http://dx.doi.org/10.1007/s10750-020-04183-4",2020,"FORTUNATO HFM 2020 HYDROBIOLOGIA",0.012735609,0.059093225,0.019358125,0.059093225,0.019358125,0.039225675,0.019358125,0.025980642,0.012735609,0.039225675,0.171676006,0.045848192,0.039225675,0.019358125,0.012735609,0.019358125,0.019358125,0.019358125,0.025980642,0.072338258,0.012735609,0.065715741,0.072338258,0.025980642,0.045848192,NA,"function","FORTUNATO HFM 2020 HYDROBIOLOGIA","UNIV ESTADO RIO DE JANEIRO UERJ","Southeastern"
"http://dx.doi.org/10.1007/s10750-020-04183-4.extracted_coords.2",-44.166,-23.115,"http://dx.doi.org/10.1007/s10750-020-04183-4",2020,"FORTUNATO HFM 2020 HYDROBIOLOGIA",0.012735609,0.059093225,0.019358125,0.059093225,0.019358125,0.039225675,0.019358125,0.025980642,0.012735609,0.039225675,0.171676006,0.045848192,0.039225675,0.019358125,0.012735609,0.019358125,0.019358125,0.019358125,0.025980642,0.072338258,0.012735609,0.065715741,0.072338258,0.025980642,0.045848192,NA,"function","FORTUNATO HFM 2020 HYDROBIOLOGIA","UNIV ESTADO RIO DE JANEIRO UERJ","Southeastern"
"http://dx.doi.org/10.1007/s10750-020-04183-4.extracted_coords.3",-44.24,-23.086,"http://dx.doi.org/10.1007/s10750-020-04183-4",2020,"FORTUNATO HFM 2020 HYDROBIOLOGIA",0.012735609,0.059093225,0.019358125,0.059093225,0.019358125,0.039225675,0.019358125,0.025980642,0.012735609,0.039225675,0.171676006,0.045848192,0.039225675,0.019358125,0.012735609,0.019358125,0.019358125,0.019358125,0.025980642,0.072338258,0.012735609,0.065715741,0.072338258,0.025980642,0.045848192,NA,"function","FORTUNATO HFM 2020 HYDROBIOLOGIA","UNIV ESTADO RIO DE JANEIRO UERJ","Southeastern"
"http://dx.doi.org/10.1007/s10750-020-04183-4.extracted_coords.4",-44.164,-23.175,"http://dx.doi.org/10.1007/s10750-020-04183-4",2020,"FORTUNATO HFM 2020 HYDROBIOLOGIA",0.012735609,0.059093225,0.019358125,0.059093225,0.019358125,0.039225675,0.019358125,0.025980642,0.012735609,0.039225675,0.171676006,0.045848192,0.039225675,0.019358125,0.012735609,0.019358125,0.019358125,0.019358125,0.025980642,0.072338258,0.012735609,0.065715741,0.072338258,0.025980642,0.045848192,"¡REA DE PROTE«√O AMBIENTAL DE TAMOIOS","function","FORTUNATO HFM 2020 HYDROBIOLOGIA","UNIV ESTADO RIO DE JANEIRO UERJ","Southeastern"
"http://dx.doi.org/10.1007/s10750-020-04183-4.extracted_coords.5",-44.18,-23.183,"http://dx.doi.org/10.1007/s10750-020-04183-4",2020,"FORTUNATO HFM 2020 HYDROBIOLOGIA",0.012735609,0.059093225,0.019358125,0.059093225,0.019358125,0.039225675,0.019358125,0.025980642,0.012735609,0.039225675,0.171676006,0.045848192,0.039225675,0.019358125,0.012735609,0.019358125,0.019358125,0.019358125,0.025980642,0.072338258,0.012735609,0.065715741,0.072338258,0.025980642,0.045848192,NA,"function","FORTUNATO HFM 2020 HYDROBIOLOGIA","UNIV ESTADO RIO DE JANEIRO UERJ","Southeastern"
"http://dx.doi.org/10.1007/s10750-020-04183-4.extracted_coords.6",-44.257,-23.189,"http://dx.doi.org/10.1007/s10750-020-04183-4",2020,"FORTUNATO HFM 2020 HYDROBIOLOGIA",0.012735609,0.059093225,0.019358125,0.059093225,0.019358125,0.039225675,0.019358125,0.025980642,0.012735609,0.039225675,0.171676006,0.045848192,0.039225675,0.019358125,0.012735609,0.019358125,0.019358125,0.019358125,0.025980642,0.072338258,0.012735609,0.065715741,0.072338258,0.025980642,0.045848192,"PARQUE ESTADUAL DA ILHA GRANDE","function","FORTUNATO HFM 2020 HYDROBIOLOGIA","UNIV ESTADO RIO DE JANEIRO UERJ","Southeastern"
"http://dx.doi.org/10.1007/s00248-019-01480-x.extracted_coords",-38.506,-17.959,"http://dx.doi.org/10.1007/s00248-019-01480-x",2020,"WALTER JM NA MICROB ECOL",0.021493213,0.050904977,0.028846154,0.264140271,0.014140271,0.109728507,0.028846154,0.021493213,0.021493213,0.080316742,0.028846154,0.021493213,0.014140271,0.028846154,0.014140271,0.021493213,0.014140271,0.021493213,0.021493213,0.014140271,0.028846154,0.028846154,0.021493213,0.021493213,0.036199095,NA,"function","WALTER JM NA MICROB ECOL","UNIV FED RIO DE JANEIRO","Southeastern"
"http://dx.doi.org/10.1111/jpy.12917.extracted_coords.1",-48.34,-27.275,"http://dx.doi.org/10.1111/jpy.12917",2019,"COSTA IO 2019 J PHYCOL",0.233541234,0.017325017,0.017325017,0.026334026,0.053361053,0.017325017,0.017325017,0.071379071,0.107415107,0.044352044,0.017325017,0.026334026,0.017325017,0.017325017,0.017325017,0.017325017,0.017325017,0.017325017,0.017325017,0.017325017,0.107415107,0.017325017,0.026334026,0.026334026,0.017325017,"RESERVA BIOL”GICA MARINHA DO ARVOREDO","function","COSTA IO 2019 J PHYCOL","UNIV ESTADO BAHIA","Northeastern"
"http://dx.doi.org/10.1111/jpy.12917.extracted_coords.2",-38.905,-13.388,"http://dx.doi.org/10.1111/jpy.12917",2019,"COSTA IO 2019 J PHYCOL",0.233541234,0.017325017,0.017325017,0.026334026,0.053361053,0.017325017,0.017325017,0.071379071,0.107415107,0.044352044,0.017325017,0.026334026,0.017325017,0.017325017,0.017325017,0.017325017,0.017325017,0.017325017,0.017325017,0.017325017,0.107415107,0.017325017,0.026334026,0.026334026,0.017325017,NA,"function","COSTA IO 2019 J PHYCOL","UNIV ESTADO BAHIA","Northeastern"
"http://dx.doi.org/10.1111/jpy.12917.extracted_coords.3",-40.612,-20.814,"http://dx.doi.org/10.1111/jpy.12917",2019,"COSTA IO 2019 J PHYCOL",0.233541234,0.017325017,0.017325017,0.026334026,0.053361053,0.017325017,0.017325017,0.071379071,0.107415107,0.044352044,0.017325017,0.026334026,0.017325017,0.017325017,0.017325017,0.017325017,0.017325017,0.017325017,0.017325017,0.017325017,0.107415107,0.017325017,0.026334026,0.026334026,0.017325017,"¡REA DE PROTE«√O AMBIENTAL MUNICIPAL TARTARUGAS","function","COSTA IO 2019 J PHYCOL","UNIV ESTADO BAHIA","Northeastern"
