Paper_ID,Rhodolith beds,Chemical ecology,Reproduction,Holobiont,Deep reefs,Climate change,Fisheries,Methods,Taxonomy & Systematics,Macroalgae & Herbivory,Habitat structure,Oceanic islands,Trophic ecology & Nursery habitats ,Geomorphology & Paleontology,Oceanography & Productivity,Demography,Anthozoan biology,Hydrodynamics,Fish interactions,Invasive species,Biogeography & Phylogeography,Tourism & Pollution,Distribution limits,Cytogenetics,Conservation & Management
ABRUNHOSA FA 2007 REV BRAS ZOOL,0.019825535,0.05075337,0.277557494,0.019825535,0.040444092,0.019825535,0.030134814,0.019825535,0.071371927,0.030134814,0.040444092,0.019825535,0.019825535,0.019825535,0.040444092,0.030134814,0.019825535,0.019825535,0.030134814,0.019825535,0.019825535,0.019825535,0.030134814,0.019825535,0.05075337
ACCIOLY IV 2008 GENET MOL RES,0.018737673,0.012327416,0.012327416,0.012327416,0.031558185,0.012327416,0.012327416,0.025147929,0.018737673,0.012327416,0.012327416,0.012327416,0.012327416,0.012327416,0.025147929,0.018737673,0.012327416,0.018737673,0.012327416,0.012327416,0.018737673,0.018737673,0.025147929,0.570019724,0.018737673
ACOSTA A 2001 BULL MAR SCI,0.008781173,0.027046013,0.045310854,0.068141904,0.036178433,0.017913593,0.017913593,0.031612223,0.013347383,0.008781173,0.031612223,0.027046013,0.008781173,0.013347383,0.022479803,0.164032315,0.273621356,0.031612223,0.008781173,0.013347383,0.022479803,0.036178433,0.013347383,0.022479803,0.013347383
ACOSTA A 2001 HYDROBIOLOGIA,0.012029123,0.032605255,0.028490028,0.135485913,0.053181387,0.098448876,0.007913897,0.007913897,0.032605255,0.016144349,0.024374802,0.012029123,0.007913897,0.016144349,0.065527066,0.131370687,0.156062045,0.020259576,0.012029123,0.012029123,0.007913897,0.020259576,0.036720481,0.016144349,0.007913897
ACOSTA A 2005 BULL MAR SCI,0.021404682,0.021404682,0.086622074,0.008361204,0.025752508,0.043143813,0.017056856,0.047491639,0.038795987,0.025752508,0.008361204,0.008361204,0.008361204,0.034448161,0.030100334,0.086622074,0.277926421,0.01270903,0.008361204,0.008361204,0.086622074,0.021404682,0.017056856,0.017056856,0.008361204
ADELIR-ALVES J 2018 CHECKLIST,0.030448718,0.030448718,0.020032051,0.020032051,0.040865385,0.020032051,0.051282051,0.020032051,0.030448718,0.030448718,0.020032051,0.061698718,0.030448718,0.030448718,0.020032051,0.020032051,0.020032051,0.020032051,0.051282051,0.165865385,0.061698718,0.020032051,0.020032051,0.124198718,0.020032051
ADELIR-ALVES J 2018 MAR BIOL RES,0.044955045,0.038461538,0.064435564,0.012487512,0.025474525,0.012487512,0.031968032,0.038461538,0.044955045,0.025474525,0.064435564,0.044955045,0.044955045,0.018981019,0.012487512,0.129370629,0.012487512,0.012487512,0.025474525,0.012487512,0.044955045,0.012487512,0.051448551,0.031968032,0.044955045
AFFONSO P R A M 2007 ,0.019487179,0.019487179,0.026153846,0.032820513,0.046153846,0.012820513,0.026153846,0.039487179,0.012820513,0.019487179,0.032820513,0.019487179,0.026153846,0.012820513,0.012820513,0.019487179,0.019487179,0.012820513,0.059487179,0.012820513,0.186153846,0.046153846,0.019487179,0.166153846,0.066153846
AFFONSO PRAD 2002 CARYOLOGIA,0.022144522,0.014568765,0.022144522,0.014568765,0.037296037,0.022144522,0.037296037,0.044871795,0.037296037,0.022144522,0.014568765,0.014568765,0.02972028,0.022144522,0.014568765,0.022144522,0.014568765,0.014568765,0.02972028,0.022144522,0.037296037,0.014568765,0.022144522,0.408508159,0.022144522
AFFONSO PRAD 2005 GENETICA,0.011655012,0.011655012,0.011655012,0.017715618,0.017715618,0.011655012,0.011655012,0.017715618,0.035897436,0.011655012,0.02983683,0.011655012,0.011655012,0.02983683,0.011655012,0.02983683,0.011655012,0.011655012,0.011655012,0.011655012,0.072261072,0.011655012,0.017715618,0.538927739,0.011655012
