PAPER_ID,Year,Title,Keywords,Abstract,SR,Type_of_information,Site_name,Position_in_the_text,Latitude_original,Longitude_original,Latitude,Longitude,Obs
TARARAM AS 1982 BOLM INST OCEANOG,1982,NOTES ON THE FEEDING OF BLENNIUS CRISTATUS LINNAEUS FROM A ROCKY POOL OF ITANHAÉMJ SAO PAULO STATE,Oceanic islands; Zoogeography; Taxonomy; Marine invertebrates; Benthos,THIS PRELIMINARY STUDY ANALYZES THE FEEDING HABIT OF THE FISH BLENNIUS CRISTATUS INHABITING A ROCKY POOL IN ITANHAÉM SOUTH LITTORAL OF SÃO PAULO STATE - BRAZIL. THE MAIN FOOD ITEMS FOUND WERE ALGA DECAPODA REPTANTIA MOLLUSCA AND AMPHIPODA. THE RESULTS SHOWED THAT B. CRISTATUS IS AN OMNIVOROUS SPECIES AND PROBAB LY ALSO A TROPHIC SPECIALIST PREYING ON GAMMARIDEA BUT ON HYALE MEDIA ONLY ALTHOUGH TWELVE OTHER SPECIES OF HE GROUP WERE RECORDED IN THE SAMPLING LOCAL.,TARARAM AS 1982 BOLM INST OCEANOG,coordinate_from_text,praia_do_poco,study_area,24°12'S,46°47'W,-24.2,-46.783333,
ARAUJO PRD 1992 ECON GEOL BULL SOC ECON GEOL,1992,PHOSPHORITES OF ROCINHA-MINE PATOS-DE-MINAS MINAS-GERAIS BRAZIL -  GENESIS AND EVOLUTION OF A MIDDLE PROTEROZOIC DEPOSIT TECTONIZED BY THE  BRASILIANO OROGENY,NA PHOSPHATE DEPOSITS SEDIMENTARY,IN CENTRAL BRAZIL THE STATES OF MINAS GERAIS AND GOIAS THE BRASILIANO  OROGENY ALMOST-EQUAL-TO 600 MA DELINEATES THE SAO FRANCISCO CRATON  AND TO THE WEST THE BRASILIA FOLD BELT. ROCKS OF THE FOLD BELT ARE  THRUST TO THE EAST AND DISPLAY INCREASING DEFORMATION AND METAMORPHISM  WESTWARD.  ALMOST ALL THE PHOSPHATE DEPOSITS ARE FOUND IN THE BRASILIA FOLD BELT  EITHER ALONG ITS BOUNDARY WITH THE CRATON OR IN EXTERNAL STRUCTURAL  UNITS SHOWING POLYCYCLIC DEFORMATION AND GREEN-SCHIST METAMORPHISM. THEY  OCCUR IN THE METASEDIMENTARY ROCKS OF THE MIDDLE PROTEROZOIC PARANOA  GROUP AND IN THE UPPER PROTEROZOIC SAO FRANCISCO GROUP AND ITS  EQUIVALENTS. MIDDLE PROTEROZOIC PHOSPHORITES ARE ECONOMICALLY THE MORE  IMPORTANT MOST ARE SPATIALLY AND TEMPORALLY ASSOCIATED WITH A  STROMATOLITE REEF BARRIER. HOWEVER THE ROCINHA-PATOS DE MINAS DEPOSIT  THE ONLY PRESENTLY MINED IS LOCATED SOUTH OF THE REEF BARRIER. IT HAS  DEVELOPED ON A SHALLOW TO DEEP RAMP BETWEEN A WIDE INTERNAL BASIN WITH  REDUCED OXYGEN CONDITIONS AND LIMITED DETRITUS AND A MORE OXYGENATED  MARINE ENVIRONMENT TO THE WEST.  IN THE ROCINHA MINE PHOSPHATE FORMS GRAINS ANGULAR FRAGMENTS LENSES  OR CENTIMETER-THICK BEDS IN SCHISTS AND CARBONATE OR GLAUCONITIC  SCHISTS. THE P2O5 CONTENT OF PHOSPHATIC ROCKS RANGES BETWEEN 10 AND 15  PERCENT. ANNUAL PRODUCTION IS AROUND 200000 TONS OF ORE CONTAINING 24  PERCENT P2O5. THE MINE AREA COMPRISES FOUR TECTONIC SLICES MADE UP OF  SCHISTS QUARTZOSCHISTS AND PHOSPHATIC SCHISTS SEPARATED BY  SUBHORIZONTAL SHEAR PLANES. THESE ARE DEFINED BY TECTONIC BRECCIAS IN  WHICH SECONDARY APATITE HAS RECRYSTALLIZED. THE MINE IS EXPOSED IN A 50-  TO 75-M PHOSPHATIC SEQUENCE WHICH IS REPEATED IN A LOWER SLICE ABOUT 100  M BELOW MINE LEVEL.  THE PHOSPHATIC ORE IS A HOMOGENEOUS CRYPTO- TO MICROCRYSTALLINE APATITE  IN FAIRLY CONTINUOUS CENTIMETER-THICK BEDS WHICH WERE STRETCHED  FRAGMENTED AND BOUDINAGED DURING BRASILIANO ISOCLINAL FOLDING AND  SUBSEQUENT SUBHORIZONTAL SHEARING.  X-RAY DIFFRACTION IR SPECTROMETRY AND CHEMICAL ANALYSIS INDICATE THAT  THE METASEDIMENTARY PHOSPHATE IS A WEAKLY CARBONATED FLUORAPATITE WITH  LOW F AND CO2 CONTENTS. THE INFLUENCE OF THE BRASILIANO OROGENESIS IS  MARKED BY PARTIAL SUBSTITUTION OF F BY OH. SECONDARY PRISMATIC APATITE  KAOLINITE COATINGS AND WAVELLITE SHEAFLIKE STRUCTURES ARE PRODUCTS OF  WEATHERING AND ARE FOUND IN MINE SECTIONS AND BORE HOLES TO A DEPTH OF  10 TO 15 M. SECONDARY APATITES ARE ENRICHED IN CO2 COMPARED TO PRIMARY  METASEDIMENTARY APATITES.,ARAUJO PRD 1992 ECON GEOL BULL SOC ECON GEOL,NA,NA,NA,NA,NA,NA,NA,Estudo fora do litoral
BOROBIA M 1992 BIOL CONSERV,1992,RECENT OBSERVATIONS AND RECORDS OF THE WEST-INDIAN MANATEE  TRICHECHUS-MANATUS IN NORTHEASTERN BRAZIL,NA FLORIDA,SIXTEEN BOAT SURVEYS AND OBSERVATIONS FROM REEFS WERE CONDUCTED BETWEEN  JANUARY AND MAY 1986 IN THE REGION OF BARRA DE MAMANGUAPE PARAIBA  BRAZIL TO ASSESS THE OCCURRENCE OF WEST INDIAN MANATEES TRICHECHUS  MANATUS. SIGHTINGS OF ONE TO THREE INDIVIDUALS WERE MADE ON ELEVEN  OCCASIONS IN INSHORE WATERS PROTECTED BY REEFS AND AT THE OFFSHORE SIDES  OF REEFS. MANATEES WERE ONLY OBSERVED IN MARCH AND APRIL. POSSIBLE  MOVEMENTS BETWEEN SEA AND INSHORE WATERS COULD INCIDATE A NEED FOR  FRESHWATER AND/OR BE RELATED TO FORAGING PREFERENCES AND MIGRATION.  DIRECT THREATS TO MANATEE SURVIVAL IN THE STATE OF PARAIBA INCLUDE  HUNTING AND ACCIDENTAL CATCHES. DEGRADATION OF SUITABLE HABITAT MIGHT  ALSO INCREASE MANATEE VULNERABILITY IN BARRA DE MAMANGUAPE. RECENT  RECORDS SUGGEST EXISTING REMNANT POPULATIONS OF UNKNOWN SIZE IN  NORTHEASTERN BRAZIL WHICH SHOULD RECEIVE FURTHER ATTENTION AND  IMPLEMENTATION OF CONSERVATION MEASURES.,BOROBIA M 1992 BIOL CONSERV,coordinate_from_text,Barra de Mamanguape ,introduction_,6° 46' S ,34° 50' W,-6.766667,-34.833333,
PIRES DO 1992 BULL MAR SCI,1992,CNIDAE OF THE BRAZILIAN MUSSIDAE CNIDARIA SCLERACTINIA AND THEIR  VALUE IN TAXONOMY,NA LIFE-CYCLE NEMATOCYSTS CAMPANULARIIDAE CHRYSAORA SCYPHOZOALAOMEDEA AURELIA CYANEA,THE CNIDAE OF FOUR SPECIES OF MUSSIDAE ARE DESCRIBED AND ILLUSTRATED.  BOTH WEILL'S I 934 NEMATOCYST NOMENCLATURE LATER MODIFIED BY CARLGREN  1940 AND SCHMIDT'S 1969 1972 1974 WERE USED. THREE SPECIES  BELONGING TO THE ENDEMIC BRAZILIAN GENUS MUSSISMILIA ORTMANN 1890 M.  HISPIDA VERRILL 1902 M. HARTTI VERRILL 1868 AND M. BRAZILIENSIS  VERRILL 1868 AND ONE BELONGING TO THE WORLD WIDE GENUS SCOLYMIA  HAIME 1852 S. WELLSI LABOREL 1967 WERE STUDIED. SPECIMENS FROM  DIFFERENT LOCALITIES OF THE BRAZILIAN COAST WERE OBSERVED. QUALITATIVE  ANALYSIS OF THEIR CNIDAE SHOWED THAT ALL THE SPECIES STUDIED PRESENT THE  SAME TYPES AND DISTRIBUTIONS OF NEMATOCYSTS. FIVE TYPES WERE OBSERVED  SENSU SCHMIDT SPIROCYSTS HOLOTRICHS I HOLOTRICHS II B-RHABDOIDS  AND P-RHABDOIDS D. SOME TYPES PRESENTED MORPHOLOGICAL VARIETIES  CONSIDERED AS SUB-TYPES. FOUR STRUCTURAL REGIONS WERE EXAMINED  COENOSARC/EDGE ZONE ACROSPHERES STOMODAEUM AND MESENTERIAL FILAMENTS.  THE NEMATOCYSTS OF A PLANULA OF S. WELLSI WERE ALSO OBSERVED.  QUALITATIVE AND QUANTITATIVE SIZE ANALYSIS OF CNIDAE SHOWED DIFFERENCES  AT GENERIC LEVEL ONLY. THE QUALITATIVE DIFFERENCE OBSERVED WAS THAT  MUSSISMILIA PRESENTS TWO SIZE CLASSES OF P-RHABDOIDS D IN THE  MESENTERIAL FILAMENTS WHILE IN SCOLYMIA THERE IS ONLY ONE. QUANTITATIVE  SIZE ANALYSIS WAS PERFORMED USING NESTED ANALYSIS OF VARIANCE ANOVA  AND THE PROCEDURE OF STUDENT-NEWMAN-KEULS SOKAL AND ROHLF 1979. THESE  TESTS SUGGESTED THAT THE SIZE OF THREE TYPES OF NEMATOCYSTS CAN  DIFFERENTIATE THE TWO GENERA B-RHABDOIDS FROM STOMODAEUM AND HOLOTRICHS  I AND II FROM THE MESENTERIAL FILAMENTS. THE IMPORTANCE OF MORPHOMETRICS  IN THE STUDY OF CORAL CNIDAE IS SUPPORTED.,PIRES DO 1992 BULL MAR SCI,site_name,porto_de_galinhas,material_and_methods,8°30'S,34°59'W,-8.5,-34.983333,
PIRES DO 1992 BULL MAR SCI,1992,CNIDAE OF THE BRAZILIAN MUSSIDAE CNIDARIA SCLERACTINIA AND THEIR  VALUE IN TAXONOMY,NA LIFE-CYCLE NEMATOCYSTS CAMPANULARIIDAE CHRYSAORA SCYPHOZOALAOMEDEA AURELIA CYANEA,THE CNIDAE OF FOUR SPECIES OF MUSSIDAE ARE DESCRIBED AND ILLUSTRATED.  BOTH WEILL'S I 934 NEMATOCYST NOMENCLATURE LATER MODIFIED BY CARLGREN  1940 AND SCHMIDT'S 1969 1972 1974 WERE USED. THREE SPECIES  BELONGING TO THE ENDEMIC BRAZILIAN GENUS MUSSISMILIA ORTMANN 1890 M.  HISPIDA VERRILL 1902 M. HARTTI VERRILL 1868 AND M. BRAZILIENSIS  VERRILL 1868 AND ONE BELONGING TO THE WORLD WIDE GENUS SCOLYMIA  HAIME 1852 S. WELLSI LABOREL 1967 WERE STUDIED. SPECIMENS FROM  DIFFERENT LOCALITIES OF THE BRAZILIAN COAST WERE OBSERVED. QUALITATIVE  ANALYSIS OF THEIR CNIDAE SHOWED THAT ALL THE SPECIES STUDIED PRESENT THE  SAME TYPES AND DISTRIBUTIONS OF NEMATOCYSTS. FIVE TYPES WERE OBSERVED  SENSU SCHMIDT SPIROCYSTS HOLOTRICHS I HOLOTRICHS II B-RHABDOIDS  AND P-RHABDOIDS D. SOME TYPES PRESENTED MORPHOLOGICAL VARIETIES  CONSIDERED AS SUB-TYPES. FOUR STRUCTURAL REGIONS WERE EXAMINED  COENOSARC/EDGE ZONE ACROSPHERES STOMODAEUM AND MESENTERIAL FILAMENTS.  THE NEMATOCYSTS OF A PLANULA OF S. WELLSI WERE ALSO OBSERVED.  QUALITATIVE AND QUANTITATIVE SIZE ANALYSIS OF CNIDAE SHOWED DIFFERENCES  AT GENERIC LEVEL ONLY. THE QUALITATIVE DIFFERENCE OBSERVED WAS THAT  MUSSISMILIA PRESENTS TWO SIZE CLASSES OF P-RHABDOIDS D IN THE  MESENTERIAL FILAMENTS WHILE IN SCOLYMIA THERE IS ONLY ONE. QUANTITATIVE  SIZE ANALYSIS WAS PERFORMED USING NESTED ANALYSIS OF VARIANCE ANOVA  AND THE PROCEDURE OF STUDENT-NEWMAN-KEULS SOKAL AND ROHLF 1979. THESE  TESTS SUGGESTED THAT THE SIZE OF THREE TYPES OF NEMATOCYSTS CAN  DIFFERENTIATE THE TWO GENERA B-RHABDOIDS FROM STOMODAEUM AND HOLOTRICHS  I AND II FROM THE MESENTERIAL FILAMENTS. THE IMPORTANCE OF MORPHOMETRICS  IN THE STUDY OF CORAL CNIDAE IS SUPPORTED.,PIRES DO 1992 BULL MAR SCI,site_name,morro_de_sao_paulo,material_and_methods,13°22'S,38°54'W,-13.36667,-38.9,
PIRES DO 1992 BULL MAR SCI,1992,CNIDAE OF THE BRAZILIAN MUSSIDAE CNIDARIA SCLERACTINIA AND THEIR  VALUE IN TAXONOMY,NA LIFE-CYCLE NEMATOCYSTS CAMPANULARIIDAE CHRYSAORA SCYPHOZOALAOMEDEA AURELIA CYANEA,THE CNIDAE OF FOUR SPECIES OF MUSSIDAE ARE DESCRIBED AND ILLUSTRATED.  BOTH WEILL'S I 934 NEMATOCYST NOMENCLATURE LATER MODIFIED BY CARLGREN  1940 AND SCHMIDT'S 1969 1972 1974 WERE USED. THREE SPECIES  BELONGING TO THE ENDEMIC BRAZILIAN GENUS MUSSISMILIA ORTMANN 1890 M.  HISPIDA VERRILL 1902 M. HARTTI VERRILL 1868 AND M. BRAZILIENSIS  VERRILL 1868 AND ONE BELONGING TO THE WORLD WIDE GENUS SCOLYMIA  HAIME 1852 S. WELLSI LABOREL 1967 WERE STUDIED. SPECIMENS FROM  DIFFERENT LOCALITIES OF THE BRAZILIAN COAST WERE OBSERVED. QUALITATIVE  ANALYSIS OF THEIR CNIDAE SHOWED THAT ALL THE SPECIES STUDIED PRESENT THE  SAME TYPES AND DISTRIBUTIONS OF NEMATOCYSTS. FIVE TYPES WERE OBSERVED  SENSU SCHMIDT SPIROCYSTS HOLOTRICHS I HOLOTRICHS II B-RHABDOIDS  AND P-RHABDOIDS D. SOME TYPES PRESENTED MORPHOLOGICAL VARIETIES  CONSIDERED AS SUB-TYPES. FOUR STRUCTURAL REGIONS WERE EXAMINED  COENOSARC/EDGE ZONE ACROSPHERES STOMODAEUM AND MESENTERIAL FILAMENTS.  THE NEMATOCYSTS OF A PLANULA OF S. WELLSI WERE ALSO OBSERVED.  QUALITATIVE AND QUANTITATIVE SIZE ANALYSIS OF CNIDAE SHOWED DIFFERENCES  AT GENERIC LEVEL ONLY. THE QUALITATIVE DIFFERENCE OBSERVED WAS THAT  MUSSISMILIA PRESENTS TWO SIZE CLASSES OF P-RHABDOIDS D IN THE  MESENTERIAL FILAMENTS WHILE IN SCOLYMIA THERE IS ONLY ONE. QUANTITATIVE  SIZE ANALYSIS WAS PERFORMED USING NESTED ANALYSIS OF VARIANCE ANOVA  AND THE PROCEDURE OF STUDENT-NEWMAN-KEULS SOKAL AND ROHLF 1979. THESE  TESTS SUGGESTED THAT THE SIZE OF THREE TYPES OF NEMATOCYSTS CAN  DIFFERENTIATE THE TWO GENERA B-RHABDOIDS FROM STOMODAEUM AND HOLOTRICHS  I AND II FROM THE MESENTERIAL FILAMENTS. THE IMPORTANCE OF MORPHOMETRICS  IN THE STUDY OF CORAL CNIDAE IS SUPPORTED.,PIRES DO 1992 BULL MAR SCI,site_name,arquipelago_dos_abrolhos,material_and_methods,17°58'S,38°42'W,-17.96667,-38.7,
PIRES DO 1992 BULL MAR SCI,1992,CNIDAE OF THE BRAZILIAN MUSSIDAE CNIDARIA SCLERACTINIA AND THEIR  VALUE IN TAXONOMY,NA LIFE-CYCLE NEMATOCYSTS CAMPANULARIIDAE CHRYSAORA SCYPHOZOALAOMEDEA AURELIA CYANEA,THE CNIDAE OF FOUR SPECIES OF MUSSIDAE ARE DESCRIBED AND ILLUSTRATED.  BOTH WEILL'S I 934 NEMATOCYST NOMENCLATURE LATER MODIFIED BY CARLGREN  1940 AND SCHMIDT'S 1969 1972 1974 WERE USED. THREE SPECIES  BELONGING TO THE ENDEMIC BRAZILIAN GENUS MUSSISMILIA ORTMANN 1890 M.  HISPIDA VERRILL 1902 M. HARTTI VERRILL 1868 AND M. BRAZILIENSIS  VERRILL 1868 AND ONE BELONGING TO THE WORLD WIDE GENUS SCOLYMIA  HAIME 1852 S. WELLSI LABOREL 1967 WERE STUDIED. SPECIMENS FROM  DIFFERENT LOCALITIES OF THE BRAZILIAN COAST WERE OBSERVED. QUALITATIVE  ANALYSIS OF THEIR CNIDAE SHOWED THAT ALL THE SPECIES STUDIED PRESENT THE  SAME TYPES AND DISTRIBUTIONS OF NEMATOCYSTS. FIVE TYPES WERE OBSERVED  SENSU SCHMIDT SPIROCYSTS HOLOTRICHS I HOLOTRICHS II B-RHABDOIDS  AND P-RHABDOIDS D. SOME TYPES PRESENTED MORPHOLOGICAL VARIETIES  CONSIDERED AS SUB-TYPES. FOUR STRUCTURAL REGIONS WERE EXAMINED  COENOSARC/EDGE ZONE ACROSPHERES STOMODAEUM AND MESENTERIAL FILAMENTS.  THE NEMATOCYSTS OF A PLANULA OF S. WELLSI WERE ALSO OBSERVED.  QUALITATIVE AND QUANTITATIVE SIZE ANALYSIS OF CNIDAE SHOWED DIFFERENCES  AT GENERIC LEVEL ONLY. THE QUALITATIVE DIFFERENCE OBSERVED WAS THAT  MUSSISMILIA PRESENTS TWO SIZE CLASSES OF P-RHABDOIDS D IN THE  MESENTERIAL FILAMENTS WHILE IN SCOLYMIA THERE IS ONLY ONE. QUANTITATIVE  SIZE ANALYSIS WAS PERFORMED USING NESTED ANALYSIS OF VARIANCE ANOVA  AND THE PROCEDURE OF STUDENT-NEWMAN-KEULS SOKAL AND ROHLF 1979. THESE  TESTS SUGGESTED THAT THE SIZE OF THREE TYPES OF NEMATOCYSTS CAN  DIFFERENTIATE THE TWO GENERA B-RHABDOIDS FROM STOMODAEUM AND HOLOTRICHS  I AND II FROM THE MESENTERIAL FILAMENTS. THE IMPORTANCE OF MORPHOMETRICS  IN THE STUDY OF CORAL CNIDAE IS SUPPORTED.,PIRES DO 1992 BULL MAR SCI,site_name,ilha_grande,material_and_methods,23°07'S,44°09'W,-23.11667,-44.15,
BANFORD HM 1993 PROC BIOL SOC WASH,1993,HYPORHAMPHUS-MEEKI A NEW SPECIES OF HALFBEAK TELEOSTEI HEMIRAMPHIDAE  FROM THE ATLANTIC AND GULF COASTS OF THE UNITED-STATES,NEW SPECIES TAXONOMY FISH,HYPORHAMPHUS MEEKI IS DESCRIBED FROM THE ATLANTIC AND GULF OF MEXICO  COASTS OF THE UNITED STATES. IT HAS BEEN CONFUSED PREVIOUSLY WITH H.  UNIFASCIATUS RANZANI WHICH OCCURS FROM SOUTHERN FLORIDA BERMUDA THE  WEST INDIES AND MEXICO SOUTH TO SOUTHERN BRAZIL. HYPORHAMPHUS MEEKI HAS  MORE GILL RAKERS USUALLY 33-39 ON THE FIRST GILL ARCH AND 26-29 ON THE  SECOND ARCH COMPARED TO 28-32 ON THE FIRST ARCH AND 19-25 ON THE SECOND  ARCH IN H. UNIFASCIALUS. PECTORAL-FIN RAYS ARE USUALLY 11 OR 12 VS. 10  OR 11 IN H. UNIFASCIATUS. THE RATIO OF PREORBITAL LENGTH TO ORBIT  DIAMETER IS USUALLY GREATER THAN 0.70 IN H. MEEKI LESS THAN 0.70 IN H.  UNIFASCIATUS.,BANFORD HM 1993 PROC BIOL SOC WASH,NA,NA,NA,NA,NA,NA,NA,Não consegui acessar o paper
ROSENBERG G 1993 AM MALACOL BULL,1993,A DATABASE APPROACH TO STUDIES OF MOLLUSCAN TAXONOMY BIOGEOGRAPHY AND  DIVERSITY WITH EXAMPLES FROM WESTERN ATLANTIC MARINE GASTROPODS,NA NA,A SYSTEM OF DATA FIELDS AND CONVENTIONS IS INTRODUCED THAT WILL ALLOW  WORKERS ON ANY GROUP OF MOLLUSKS TO BUILD INTERACTIVE DATABASES  DOCUMENTING CLASSIFICATIONS SYNONYMIES GEOGRAPHIC AND BATHYMETRIC  RANGES AND OTHER SUMMARY INFORMATION AT THE SPECIES LEVEL. THIS SYSTEM  IS USED TO BUILD A DATABASE WHICH IS THE FIRST COMPREHENSIVE CATALOGUE  OF RECENT WESTERN ATLANTIC GASTROPODS EVER ASSEMBLED WITH GEOGRAPHIC  COVERAGE EXTENDING FROM GREENLAND TO ANTARCTICA. AS OF JANUARY 1993 THE  DATABASE CONTAINED 8370 RECORDS OF WHICH 3988 REPRESENT CURRENTLY  RECOGNIZED SPECIES 3491 ARE SYNONYMS 157 ARE NOMINA DUBIA AND THE  REMAINDER ARE MISIDENTIFICATIONS MISSPELLINGS INVALIDLY PUBLISHED OR  EXTRALIMITAL.  THERE ARE 3103 CURRENTLY RECOGNIZED SPECIES OF TROPICAL WESTERN ATLANTIC  GASTROPODS 35-DEGREES-N TO 24-DEGREES-S 2641 OF THESE HAD BEEN NAMED  BY 1971 WHEN KEEN DOCUMENTED 2438 GASTROPOD SPECIES IN THE TROPICAL  EASTERN PACIFIC. THE COMMON PERCEPTION THAT THE TROPICAL WESTERN  ATLANTIC FAUNA IS DEPAUPERATE COMPARED TO THE EASTERN PACIFIC CANNOT BE  SUPPORTED.  FAUNAL LISTS CORRECTED FOR SYNONYMIES VARIANT GENERIC COMBINATIONS AND  MISIDENTIFICATIONS WERE EXTRACTED FROM THE DATABASE FOR EIGHT AREAS IN  THE TROPICAL WESTERN ATLANTIC. THESE ARE EASTERN AND WESTERN FLORIDA  YUCATAN PANAMA JAMAICA PUERTO RICO THE NETHERLANDS ANTILLES AND  NORTHERN BRAZIL. TO CORRECT FOR REGIONAL COLLECTING BIASES SPECIES  SMALLER THAN 5 MM THOSE OCCURRING ONLY DEEPER THAN 50 METERS AND THOSE  LACKING EXTERNAL SHELLS WERE EXCLUDED FROM THE LISTS. IN 28 PAIRWISE  COMPARISONS AMONG THE STANDARDIZED LISTS 27 SHOWED FAUNAL SIMILARITIES  GREATER THAN 50\%. WESTERN FLORIDA WHICH LACKS SHALLOW REEFAL HABITATS  HAD FAUNAL SIMILARITIES LOWER THAN DID EASTERN FLORIDA WHICH HAS THESE  HABITATS. HABITAT AVAILABILITY SEEMS AS IMPORTANT AS GEOGRAPHIC DISTANCE  IN DETERMINING FAUNAL SIMILARITY WITHIN THE TROPICAL WESTERN ATLANTIC.  NONE OF THE EIGHT REGIONS HAD MORE THAN 4\% ENDEMIC SPECIES. ALTHOUGH  SPECIES TEND TO BE WIDESPREAD WITHIN THE TROPICAL WESTERN ATLANTIC ONLY  20\% ARE KNOWN FROM OTHER BIOGEOGRAPHIC PROVINCES.,ROSENBERG G 1993 AM MALACOL BULL,NA,NA,NA,NA,NA,NA,NA,"provide coordinates of species range limits, not sites"
VIANNA ML 1993 INT J REMOTE SENS,1993,TM-LANDSAT IMAGERY APPLIED TO THE STUDY OF THE IMPACT OF GLOBAL  CLIMATE-CHANGE ON A TROPICAL COASTAL ENVIRONMENT DURING THE LAST  DEGLACIATION,NA WATER DEPTH SEA CIRCULATION REGION,THE DISCOVERY AND SUBSEQUENT MAPPING OF AN ANCIENT SHORELINE AT 25 M  DEPTH IN N-E BRAZIL BY TM-LANDSAT IMAGERY IS DESCRIBED. THE STUDY AREA  IS LOCATED ON A TECTONICALLY STABLE PART OF THE BRAZILIAN SHELF WHICH  PRESENTLY SHOWS A MINOR UPLIFT RATE OF 0.2 MM YEAR-1 TO THE NORTH OF  NATAL IN THE STATE OF RIO GRANDE DO NORTE. THIS SUBMERGED SHORELINE IS  CHARACTERIZED BY THE OCCURRENCE OF A LARGE NUMBER OF LONG BEACHROCK  OUTCROPS > 3 KM IN LENGTH OBSERVED BY DIVING WHICH ARE COMPARABLE TO  THEIR ANALOGUES SEEN ON THE PRESENT-DAY BEACHES OF THE ADJACENT COAST.  THE GOOD STATE OF PRESERVATION OF THIS SHORELINE AND THE LARGE NUMBER OF  CARBONATE ROCK `REEFS' ON IT SUGGEST ABRUPTNESS OF A RETURN TO  TRANSGRESSIVE SEA-LEVEL TREND WITH HIGH GROWTH RATES SUBSEQUENT TO A  LONG-LIVED SEA-LEVEL RELATING TO THE 11000-9000 YR B.P. BAND. BY  REVIEWING HIGH RESOLUTION PALEOCLIMATIC DATA FROM THIS PERIOD WE  CONJECTURE THAT THIS STILLSTAND COULD BE A CONSEQUENCE OF THE YOUNGER  DRYAS COLD EVENT IN THE NORTH ATLANTIC WHICH MIGHT HAVE ALSO HAD  IMPORTANCE AS A DRIVING MORPHOGENETIC PROCESS FOR COASTS IN A GLOBAL  SCALE.,VIANNA ML 1993 INT J REMOTE SENS,coordinate_from_text,NA,study_area,05°00'S,35°30'W,-5,-35.5,
