Paper_ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
ABRUNHOSA FA 2007 REV BRAS ZOOL,0.022727273,0.090909091,0.090909091,0.022727273,0.022727273,0.022727273,0.022727273,0.022727273,0.045454545,0.022727273,0.022727273,0.022727273,0.193181818,0.022727273,0.022727273,0.034090909,0.022727273,0.034090909,0.022727273,0.022727273,0.034090909,0.056818182,0.022727273,0.045454545,0.034090909
ACCIOLY IV 2008 GENET MOL RES,0.013071895,0.013071895,0.039215686,0.013071895,0.026143791,0.058823529,0.019607843,0.032679739,0.013071895,0.039215686,0.026143791,0.019607843,0.045751634,0.032679739,0.385620915,0.032679739,0.045751634,0.013071895,0.026143791,0.019607843,0.026143791,0.013071895,0.019607843,0.013071895,0.013071895
ACOSTA A 2001 BULL MAR SCI,0.032407407,0.152777778,0.009259259,0.018518519,0.013888889,0.018518519,0.023148148,0.055555556,0.023148148,0.115740741,0.009259259,0.027777778,0.009259259,0.013888889,0.046296296,0.018518519,0.046296296,0.268518519,0.009259259,0.013888889,0.018518519,0.013888889,0.009259259,0.018518519,0.013888889
ACOSTA A 2001 HYDROBIOLOGIA,0.021186441,0.105932203,0.016949153,0.008474576,0.06779661,0.016949153,0.025423729,0.038135593,0.016949153,0.029661017,0.025423729,0.021186441,0.016949153,0.088983051,0.012711864,0.042372881,0.021186441,0.262711864,0.008474576,0.016949153,0.025423729,0.016949153,0.072033898,0.012711864,0.008474576
ACOSTA A 2005 BULL MAR SCI,0.01754386,0.122807018,0.030701754,0.026315789,0.026315789,0.00877193,0.026315789,0.057017544,0.00877193,0.030701754,0.013157895,0.013157895,0.013157895,0.083333333,0.096491228,0.013157895,0.013157895,0.254385965,0.013157895,0.013157895,0.026315789,0.026315789,0.039473684,0.013157895,0.013157895
ADELIR-ALVES J 2018 CHECKLIST,0.02173913,0.02173913,0.02173913,0.02173913,0.032608696,0.163043478,0.02173913,0.02173913,0.043478261,0.043478261,0.02173913,0.130434783,0.02173913,0.032608696,0.043478261,0.032608696,0.02173913,0.02173913,0.032608696,0.02173913,0.032608696,0.097826087,0.02173913,0.02173913,0.032608696
ADELIR-ALVES J 2018 MAR BIOL RES,0.012987013,0.097402597,0.038961039,0.012987013,0.025974026,0.045454545,0.045454545,0.045454545,0.064935065,0.019480519,0.077922078,0.077922078,0.025974026,0.058441558,0.058441558,0.012987013,0.025974026,0.012987013,0.038961039,0.032467532,0.038961039,0.032467532,0.012987013,0.019480519,0.064935065
AFFONSO P R A M 2007 ,0.047945205,0.01369863,0.01369863,0.020547945,0.02739726,0.116438356,0.034246575,0.020547945,0.02739726,0.034246575,0.01369863,0.020547945,0.04109589,0.034246575,0.267123288,0.04109589,0.01369863,0.01369863,0.01369863,0.047945205,0.01369863,0.01369863,0.01369863,0.075342466,0.020547945
AFFONSO PRAD 2002 CARYOLOGIA,0.046153846,0.015384615,0.038461538,0.015384615,0.023076923,0.046153846,0.023076923,0.030769231,0.023076923,0.030769231,0.046153846,0.015384615,0.038461538,0.015384615,0.361538462,0.015384615,0.030769231,0.023076923,0.038461538,0.015384615,0.023076923,0.015384615,0.015384615,0.030769231,0.023076923
AFFONSO PRAD 2005 GENETICA,0.013071895,0.013071895,0.052287582,0.013071895,0.039215686,0.019607843,0.013071895,0.013071895,0.019607843,0.026143791,0.019607843,0.032679739,0.026143791,0.019607843,0.45751634,0.013071895,0.013071895,0.013071895,0.013071895,0.065359477,0.032679739,0.019607843,0.013071895,0.019607843,0.019607843
AGUIAR AA 2009 J MAR BIOL ASSOC U K,0.025641026,0.094017094,0.05982906,0.017094017,0.017094017,0.034188034,0.034188034,0.085470085,0.153846154,0.042735043,0.025641026,0.05982906,0.025641026,0.025641026,0.017094017,0.068376068,0.042735043,0.025641026,0.017094017,0.034188034,0.017094017,0.017094017,0.017094017,0.025641026,0.017094017
AGUILERA O 2020 MAR MICROPALEONTOL,0.034285714,0.017142857,0.011428571,0.017142857,0.057142857,0.017142857,0.04,0.017142857,0.011428571,0.051428571,0.011428571,0.011428571,0.034285714,0.022857143,0.028571429,0.028571429,0.034285714,0.034285714,0.011428571,0.034285714,0.011428571,0.017142857,0.011428571,0.011428571,0.422857143
"AGUILERA O, 2020, SEDIMENT GEOL",0.089552239,0.014925373,0.024875622,0.019900498,0.044776119,0.014925373,0.039800995,0.009950249,0.009950249,0.034825871,0.019900498,0.024875622,0.039800995,0.029850746,0.014925373,0.009950249,0.009950249,0.014925373,0.029850746,0.039800995,0.014925373,0.009950249,0.019900498,0.024875622,0.393034826
"AJALA-BATISTA L, 2020, MAR BIODIVERS",0.012658228,0.012658228,0.012658228,0.012658228,0.196202532,0.012658228,0.025316456,0.025316456,0.025316456,0.012658228,0.012658228,0.063291139,0.044303797,0.025316456,0.025316456,0.132911392,0.012658228,0.082278481,0.037974684,0.044303797,0.012658228,0.107594937,0.012658228,0.018987342,0.018987342
ALBUQUERQUE T 2015 MAR FRESHW RES,0.264705882,0.041176471,0.011764706,0.017647059,0.011764706,0.123529412,0.047058824,0.017647059,0.052941176,0.047058824,0.088235294,0.023529412,0.017647059,0.023529412,0.023529412,0.017647059,0.017647059,0.011764706,0.017647059,0.017647059,0.017647059,0.011764706,0.041176471,0.023529412,0.011764706
"ALEGRETTI CB, 2021, OCEAN COAST RES",0.046052632,0.026315789,0.013157895,0.019736842,0.032894737,0.032894737,0.032894737,0.019736842,0.013157895,0.032894737,0.144736842,0.026315789,0.131578947,0.019736842,0.019736842,0.019736842,0.026315789,0.013157895,0.092105263,0.019736842,0.052631579,0.065789474,0.026315789,0.052631579,0.019736842
"ALENCAR CERD, 2021, AN ACAD BRAS CIENC",0.077464789,0.091549296,0.014084507,0.014084507,0.028169014,0.042253521,0.021126761,0.028169014,0.014084507,0.049295775,0.014084507,0.021126761,0.126760563,0.021126761,0.021126761,0.014084507,0.028169014,0.014084507,0.042253521,0.028169014,0.021126761,0.028169014,0.014084507,0.197183099,0.028169014
ALITTO RAS 2018 ZOOTAXA,0.024,0.032,0.104,0.016,0.208,0.024,0.08,0.016,0.056,0.072,0.024,0.024,0.016,0.056,0.016,0.064,0.016,0.016,0.016,0.04,0.016,0.016,0.016,0.016,0.016
ALLER JY 1995 PALEOGEOGR PALEOCLIMATOL PALEOECOL,0.024875622,0.024875622,0.019900498,0.019900498,0.069651741,0.019900498,0.049751244,0.024875622,0.019900498,0.014925373,0.039800995,0.014925373,0.054726368,0.059701493,0.034825871,0.049751244,0.014925373,0.029850746,0.014925373,0.034825871,0.009950249,0.049751244,0.019900498,0.009950249,0.273631841
ALMADA F 2016 PEERJ,0.027210884,0.020408163,0.163265306,0.013605442,0.027210884,0.047619048,0.020408163,0.027210884,0.027210884,0.013605442,0.027210884,0.013605442,0.074829932,0.013605442,0.25170068,0.020408163,0.013605442,0.013605442,0.020408163,0.068027211,0.013605442,0.027210884,0.013605442,0.020408163,0.020408163
ALMEIDA ACS 2015 ZOOLOGIA,0.108695652,0.02173913,0.050724638,0.014492754,0.115942029,0.014492754,0.02173913,0.014492754,0.014492754,0.036231884,0.02173913,0.057971014,0.014492754,0.02173913,0.02173913,0.014492754,0.065217391,0.036231884,0.02173913,0.014492754,0.036231884,0.202898551,0.014492754,0.02173913,0.02173913
"ALMEIDA ACS, 2021, ZOOTAXA",0.029411765,0.019607843,0.323529412,0.019607843,0.107843137,0.019607843,0.039215686,0.029411765,0.019607843,0.019607843,0.019607843,0.029411765,0.019607843,0.029411765,0.019607843,0.019607843,0.039215686,0.029411765,0.019607843,0.029411765,0.029411765,0.019607843,0.019607843,0.019607843,0.029411765
"ALMEIDA AO, 2015, MARINE BIODIVERSITY RECORDS",0.022727273,0.022727273,0.215909091,0.022727273,0.113636364,0.022727273,0.022727273,0.022727273,0.034090909,0.022727273,0.034090909,0.034090909,0.079545455,0.034090909,0.022727273,0.022727273,0.022727273,0.034090909,0.022727273,0.022727273,0.056818182,0.022727273,0.022727273,0.022727273,0.022727273
ALMEIDA CM 2013 CONT SHELF RES,0.034246575,0.01369863,0.01369863,0.034246575,0.02739726,0.01369863,0.130136986,0.01369863,0.01369863,0.020547945,0.034246575,0.01369863,0.020547945,0.089041096,0.02739726,0.02739726,0.061643836,0.01369863,0.020547945,0.01369863,0.034246575,0.020547945,0.068493151,0.01369863,0.226027397
"ALMEIDA DF, 2016, MARINE BIODIVERSITY RECORDS",0.019607843,0.019607843,0.058823529,0.019607843,0.039215686,0.098039216,0.019607843,0.019607843,0.019607843,0.029411765,0.019607843,0.117647059,0.039215686,0.019607843,0.039215686,0.029411765,0.068627451,0.019607843,0.058823529,0.098039216,0.029411765,0.019607843,0.019607843,0.058823529,0.019607843
ALMEIDA F 2012 FOOD CHEM TOXICOL,0.048387097,0.032258065,0.016129032,0.177419355,0.032258065,0.016129032,0.016129032,0.040322581,0.024193548,0.032258065,0.024193548,0.016129032,0.016129032,0.016129032,0.024193548,0.040322581,0.024193548,0.024193548,0.024193548,0.016129032,0.14516129,0.016129032,0.129032258,0.024193548,0.024193548
ALMEIDA LAH 2017 J HERED,0.012269939,0.018404908,0.042944785,0.012269939,0.042944785,0.061349693,0.030674847,0.036809816,0.012269939,0.012269939,0.036809816,0.018404908,0.012269939,0.030674847,0.380368098,0.030674847,0.018404908,0.024539877,0.012269939,0.042944785,0.049079755,0.012269939,0.018404908,0.012269939,0.018404908
ALMEIDA MTR 2014 REV BRAS FARMACOGN -BRAZ J PHARMACOGN,0.048543689,0.019417476,0.029126214,0.019417476,0.077669903,0.029126214,0.019417476,0.019417476,0.029126214,0.029126214,0.029126214,0.029126214,0.019417476,0.019417476,0.019417476,0.029126214,0.067961165,0.038834951,0.048543689,0.038834951,0.242718447,0.038834951,0.019417476,0.019417476,0.019417476
ALMEIDA SAA AC 2020 CORAL REEFS,0.034313725,0.009803922,0.009803922,0.009803922,0.034313725,0.024509804,0.024509804,0.019607843,0.019607843,0.009803922,0.024509804,0.024509804,0.019607843,0.014705882,0.009803922,0.034313725,0.024509804,0.073529412,0.019607843,0.029411765,0.014705882,0.254901961,0.235294118,0.014705882,0.009803922
ALTVATER L 2015 J EXP MAR BIOL ECOL,0.031413613,0.078534031,0.010471204,0.010471204,0.015706806,0.020942408,0.062827225,0.015706806,0.020942408,0.015706806,0.010471204,0.020942408,0.010471204,0.010471204,0.010471204,0.02617801,0.015706806,0.047120419,0.015706806,0.02617801,0.010471204,0.481675393,0.010471204,0.010471204,0.010471204
ALTVATER L 2017 MANAG BIOL INVASION,0.041916168,0.017964072,0.023952096,0.023952096,0.017964072,0.011976048,0.02994012,0.053892216,0.011976048,0.017964072,0.011976048,0.023952096,0.011976048,0.011976048,0.023952096,0.02994012,0.011976048,0.101796407,0.053892216,0.02994012,0.023952096,0.245508982,0.113772455,0.041916168,0.011976048
ALVES AM 2012 NOVA HEDWIGIA,0.019047619,0.028571429,0.123809524,0.085714286,0.047619048,0.028571429,0.019047619,0.028571429,0.019047619,0.123809524,0.028571429,0.028571429,0.038095238,0.019047619,0.019047619,0.028571429,0.066666667,0.028571429,0.019047619,0.047619048,0.038095238,0.028571429,0.038095238,0.019047619,0.028571429
ALVES AM 2019 AN ACAD BRAS CIENC,0.020618557,0.020618557,0.030927835,0.030927835,0.082474227,0.041237113,0.06185567,0.041237113,0.030927835,0.020618557,0.030927835,0.041237113,0.041237113,0.020618557,0.020618557,0.030927835,0.020618557,0.020618557,0.020618557,0.041237113,0.041237113,0.030927835,0.041237113,0.195876289,0.020618557
ALVES ANDRE M 2019 ,0.018691589,0.037383178,0.093457944,0.018691589,0.102803738,0.018691589,0.018691589,0.046728972,0.028037383,0.028037383,0.037383178,0.018691589,0.140186916,0.018691589,0.018691589,0.018691589,0.028037383,0.028037383,0.018691589,0.028037383,0.028037383,0.028037383,0.018691589,0.130841121,0.028037383
"ALVES BEZERRA NP, 2022, REV BIOL TROP",0.012345679,0.018518519,0.012345679,0.012345679,0.086419753,0.092592593,0.061728395,0.185185185,0.018518519,0.037037037,0.067901235,0.024691358,0.018518519,0.030864198,0.043209877,0.055555556,0.012345679,0.012345679,0.018518519,0.024691358,0.024691358,0.030864198,0.018518519,0.055555556,0.024691358
ALVES DFR 2013 AN ACAD BRAS CIENC,0.014814815,0.059259259,0.022222222,0.014814815,0.133333333,0.02962963,0.081481481,0.014814815,0.074074074,0.044444444,0.051851852,0.022222222,0.177777778,0.014814815,0.014814815,0.014814815,0.02962963,0.037037037,0.02962963,0.014814815,0.022222222,0.02962963,0.014814815,0.014814815,0.022222222
ALVES J 2014 ZOOTAXA,0.025641026,0.038461538,0.153846154,0.025641026,0.076923077,0.025641026,0.025641026,0.038461538,0.025641026,0.025641026,0.025641026,0.064102564,0.025641026,0.025641026,0.038461538,0.025641026,0.051282051,0.025641026,0.025641026,0.025641026,0.025641026,0.051282051,0.038461538,0.038461538,0.051282051
ALVES J 2020 ZOOTAXA,0.026785714,0.035714286,0.178571429,0.044642857,0.026785714,0.026785714,0.035714286,0.017857143,0.017857143,0.044642857,0.026785714,0.035714286,0.026785714,0.026785714,0.017857143,0.026785714,0.044642857,0.053571429,0.017857143,0.017857143,0.035714286,0.133928571,0.026785714,0.017857143,0.035714286
ALVES N 2010 ENVIRON MICROBIOL REP,0.02027027,0.013513514,0.027027027,0.02027027,0.02027027,0.013513514,0.040540541,0.02027027,0.013513514,0.02027027,0.013513514,0.027027027,0.02027027,0.013513514,0.02027027,0.033783784,0.060810811,0.222972973,0.013513514,0.02027027,0.27027027,0.02027027,0.02027027,0.02027027,0.013513514
ALVES SANTOS ME 2016 ICRS,0.027777778,0.020833333,0.076388889,0.013888889,0.041666667,0.020833333,0.0625,0.013888889,0.034722222,0.013888889,0.013888889,0.083333333,0.020833333,0.013888889,0.215277778,0.041666667,0.013888889,0.090277778,0.013888889,0.034722222,0.020833333,0.013888889,0.027777778,0.020833333,0.048611111
ALVES SANTOS ME 2016 MAR BIODIVERS,0.01369863,0.020547945,0.04109589,0.020547945,0.047945205,0.020547945,0.054794521,0.02739726,0.020547945,0.020547945,0.020547945,0.061643836,0.01369863,0.020547945,0.089041096,0.04109589,0.068493151,0.164383562,0.01369863,0.123287671,0.02739726,0.01369863,0.01369863,0.02739726,0.01369863
AMADO EM 2015 MAR FRESHW BEHAV PHYSIOL,0.014492754,0.18115942,0.014492754,0.02173913,0.050724638,0.028985507,0.014492754,0.050724638,0.02173913,0.02173913,0.02173913,0.014492754,0.043478261,0.101449275,0.028985507,0.036231884,0.02173913,0.065217391,0.014492754,0.057971014,0.02173913,0.036231884,0.086956522,0.014492754,0.014492754
AMADO FILHO GILBERTO M 2006 ,0.029850746,0.029850746,0.014925373,0.194029851,0.074626866,0.014925373,0.156716418,0.074626866,0.014925373,0.044776119,0.037313433,0.014925373,0.02238806,0.02238806,0.029850746,0.029850746,0.037313433,0.014925373,0.037313433,0.014925373,0.02238806,0.02238806,0.014925373,0.014925373,0.014925373
AMADO-FILHO 1997 ICRS8,0.198198198,0.018018018,0.018018018,0.054054054,0.036036036,0.018018018,0.036036036,0.063063063,0.018018018,0.036036036,0.018018018,0.063063063,0.027027027,0.018018018,0.027027027,0.045045045,0.126126126,0.018018018,0.018018018,0.027027027,0.018018018,0.018018018,0.045045045,0.018018018,0.018018018
AMADO-FILHO 2016 MAR BIODIVER,0.022222222,0.014814815,0.037037037,0.17037037,0.02962963,0.022222222,0.059259259,0.022222222,0.022222222,0.044444444,0.02962963,0.111111111,0.02962963,0.014814815,0.037037037,0.125925926,0.022222222,0.022222222,0.037037037,0.014814815,0.014814815,0.014814815,0.014814815,0.014814815,0.051851852
AMADO-FILHO GM 2010 CIENC MAR,0.020408163,0.013605442,0.034013605,0.31292517,0.074829932,0.020408163,0.12244898,0.013605442,0.027210884,0.013605442,0.047619048,0.013605442,0.034013605,0.040816327,0.020408163,0.013605442,0.027210884,0.013605442,0.027210884,0.034013605,0.013605442,0.013605442,0.013605442,0.013605442,0.020408163
AMADO-FILHO GM 2012 AQUAT BOT,0.014925373,0.029850746,0.02238806,0.194029851,0.014925373,0.02238806,0.02238806,0.044776119,0.044776119,0.029850746,0.037313433,0.074626866,0.029850746,0.02238806,0.029850746,0.111940299,0.037313433,0.029850746,0.014925373,0.037313433,0.014925373,0.014925373,0.02238806,0.014925373,0.067164179
AMADO-FILHO GM 2012 PLOS ONE,0.019480519,0.012987013,0.025974026,0.246753247,0.025974026,0.019480519,0.045454545,0.071428571,0.032467532,0.025974026,0.012987013,0.045454545,0.012987013,0.019480519,0.019480519,0.032467532,0.032467532,0.012987013,0.012987013,0.116883117,0.019480519,0.012987013,0.058441558,0.012987013,0.051948052
AMADO-FILHO GM 2012 REV BRAS FARMACOGN -BRAZ J PHARMACOGN,0.035460993,0.014184397,0.021276596,0.184397163,0.021276596,0.014184397,0.09929078,0.014184397,0.028368794,0.021276596,0.056737589,0.056737589,0.028368794,0.021276596,0.014184397,0.042553191,0.056737589,0.014184397,0.014184397,0.078014184,0.014184397,0.014184397,0.042553191,0.04964539,0.042553191
AMADO-FILHO GM 2018 ALGAE,0.017647059,0.029411765,0.047058824,0.229411765,0.011764706,0.023529412,0.058823529,0.052941176,0.017647059,0.017647059,0.017647059,0.029411765,0.011764706,0.035294118,0.011764706,0.035294118,0.141176471,0.023529412,0.029411765,0.023529412,0.023529412,0.023529412,0.017647059,0.041176471,0.029411765
