,PAPER_ID,Year,Title,Keywords,Abstract,SR,cr_title,cr_doi,cr_author,cr_journal,cr_score,cr_scoreauthor
14,AGUILERA O 2020 MAR SEDMENT GEOL,2020,Miocene heterozoan carbonate systems from the western Atlantic equatorial margin in South America: The Pirabas formation,Tropical South America, Fossil assemblages, Ichnofossils,Miocene heterozoan carbonate systems from the western Atlantic equatorial margin in South America: The Pirabas formation,10.1016/j.sedgeo.2020.105739,Aguilera,Sedimentary Geology,1,1
21,"ALMEIDA AO, 2015, MARINE BIODIVERSITY RECORDS",2015,NEW INVERTEBRATE HOST RECORDS (PORIFERA AND CNIDARIA) FOR SOME CARIDEAN SHRIMPS IN ESTUARIES OF NORTH-EASTERN BRAZIL,ALPHEIDAE,  CARIDEA,  CARIJOA RIISEI,New invertebrate host records (Porifera and Cnidaria) for some caridean shrimps in estuaries of north-eastern Brazil,10.1017/s1755267215000111,Almeida,Marine Biodiversity Records,1,1
23,"ALMEIDA DF, 2016, MARINE BIODIVERSITY RECORDS",2016,"ELACATINUS FIGARO SAZIMA, MOURA & ROSA, 1997 (GOBIIFORMES: GOBIIDAE): DISTRIBUTION EXTENSION OF A BRAZILIAN ENDANGERED ENDEMIC REEF FISH WITH COMMENTS ON SOUTH-WESTERN ATLANTIC OCEAN BIOGEOGRAPHY",BRAZILIAN PROVINCE,  CONSERVATION STATUS,  ENDEMISM,"Elacatinus figaro Sazima, Moura & Rosa, 1997 (Gobiiformes: Gobiidae): Distribution extension of a Brazilian endangered endemic reef fish with comments on south-western Atlantic Ocean biogeography",10.1186/s41200-016-0054-1,Almeida,Marine Biodiversity Records,1,1
26,ALMEIDA MTR 2014 REV BRAS FARMACOGN -BRAZ J PHARMACOGN,2014,CHEMICAL AND BIOLOGICAL ASPECTS OF OCTOCORALS FROM THE BRAZILIAN COAST,BIOACTIVITY BRAZILIAN COAST MARINE BIODIVERSITY MARINE NATURALPRODUCTS OCTOCORALLIA MARINE NATURAL-PRODUCTS CORAL CHROMONEPHTHEA-BRAZILIENSISBRIARANE-TYPE DITERPENOIDS GROWTH-INHIBITORY ACTIVITY OKINAWAN SOFTCORAL GORGONIAN CORAL STRUCTURE ELUCIDATION ANTIMICROBIAL ACTIVITYLEPTOGORGIA-VIRGULATA PARAGORGIA-ARBOREA,THIS REVIEW EXPLORES THE CHEMICAL AND BIOLOGICAL ASPECTS/RESULTS  REPORTED IN THE LITERATURE OF THE OCTOCORAL SPECIES COLLECTED AT THE  BRAZILIAN COAST. THIS ARTICLE SUMMARIZES THE BIOLOGICAL ACTIVITIES  INCLUDING PHARMACOLOGICAL ANTIFOULING AND OTHERS RELATED TO CHEMICAL  ECOLOGY FOR THE COMPOUNDS AND/OR EXTRACTS DESCRIBED ELSEWHERE. DATA AND  REFERENCES OF COMPOUNDS ISOLATED FROM SPECIES BELONGING TO THE SAME  GENUS WHICH HAVE NOT BEEN INVESTIGATED IN BRAZIL YET ARE PRESENTED  EMPHASIZING THE IMPORTANCE FOR RESEARCH IN THIS AREA.,ALMEIDA MTR 2014 REV BRAS FARMACOGN -BRAZ J PHARMACOGN,Chemical and biological aspects of octocorals from the Brazilian coast,10.1016/j.bjp.2014.05.002,Almeida,Revista Brasileira de Farmacognosia,1,1
42,AMADO-FILHO GM 2010 CIENC MAR,2010,SEAWEED DIVERSITY ASSOCIATED WITH A BRAZILIAN TROPICAL RHODOLITH BED,RHODOLITHS MARINE ALGAE OF BRAZIL BENTHIC ALGAL COMMUNITY ESPIRITO SANTO STATE CRUSTOSE CORALLINE ALGAE ESPIRITO SANTO STATE GULF-OF-CALIFORNIA COMMUNITY STRUCTURE CORALLINE TURF RHODOPHYTA FAUNA DISTURBANCE HABITAT CONSERVATION ASSEMBLAGES,THIS STUDY DESCRIBES THE PREDOMINANTLY TROPICAL SUBTIDAL SEAWEED  POPULATIONS GROWING ON RHODOLITHS BETWEEN 4 AND 18 M DEPTH IN THE  SOUTHERN PART OF ESPIRITO SANTO STATE BRAZIL. QUALITATIVE AND  QUANTITATIVE SAMPLING REVEALED SPECIES-RICH ALGAL COMMUNITIES  COMPRISING 167 SPECIES. THREE SPECIES OF RHODOPHYTES REPRESENT NEW  RECORDS FOR THE BRAZILIAN MARINE FLORA LITHOTHAMNION MUELLERI SCINAIA  ABOREALIS AND MESOPHYLLUM ENGELHARTII. MARKED SEASONAL DIFFERENCES IN  FLESHY ALGAL SPECIES COMPOSITION AND ABUNDANCE WERE RELATED TO SEASONAL  INSTABILITIES CAUSED BY WINTER-STORM DISTURBANCE OVER THE RHODOLITH  BEDS. IN RELATION TO DEPTH RHODOLITH DENSITY APPEARS TO BE AN IMPORTANT  FACTOR FOR THE VARIATION IN THE ABUNDANCE OF FLESHY ALGAE. THE RHODOLITH  COMMUNITY IS COMPOSED OF AT LEAST SEVEN NONGENICULATE CRUSTOSE CORALLINE  ALGAL SPECIES. RHODOLITH BEDS IN SOUTHERN ESPIRITO SANTO STATE IN AN  ARCA OF 150 KM2 PROVIDE AN IMPORTANT HABITAT FOR EPIBENTHIC  COMMUNITIES SUPPORTING 25\% OF THE KNOWN MACROALGAL SPECIES RICHNESS  ALONG THE BRAZILIAN COAST.,AMADO-FILHO GM 2010 CIENC MAR,Seaweed diversity associated with a Brazilian tropical rhodolith bed,10.7773/cm.v36i4.1782,Amado-Filho,Ciencias Marinas,1,1
50,AMARAL ACZ 2005 CONSERV BIOL,2005,CONSERVATION OF MARINE AND COASTAL BIODIVERSITY IN BRAZIL,,THE INVERTEBRATE BENTHOS ESPECIALLY THE MICRO- AND MESOFAUNAL  COMPONENTS OF THE BRAZILIAN SEAS IS STILL POORLY KNOWN. RELATIVELY FEW  SPECIES HAVE BEEN RECORDED REFLECTING THE LACK OF RESEARCH IN THIS  FIELD. THE INTERTIDAL ZONE TO DEPTHS OF ABOUT 20 IN HAS BEEN STUDIED  THE MOST AND THERE THE NUMBERS OF ENDEMIC SPECIES ARE RELATIVELY HIGH.  THE DIVERSITY OF DEMERSAL AND PELAGIC FISHES IS SIMILAR AMONG THE MAJOR  MARINE REGIONS AND ENDEMISM IS TYPICALLY LOW <5\% AND RESTRICTED TO  REEF SPECIES. SURVEYS IN SOUTHEASTERN BRAZIL DEPTHS OF UP TO 2000 IN  HAVE RECORDED MORE THAN 1300 SPECIES OF BENTHIC ANIMALS OF WHICH THE  PORIFERA CNIDARIA SIPUNCULA GASTROPODA BIVALVIA SCAPHOPODA  POLYCHAETA CRUSTACEA OPHIUROIDEA BRYOZOA AND BRACHIOPODA WERE THE  MOST ABUNDANT OR FREQUENT EXCEPTING THE MOLLUSCS DECAPODS  BRACHIURANS CIRRIPEDS AND ECHINODERMS THE FAUNAS OF SALT MARSHES  CORAL REEFS AND ISLANDS REMAIN POORLY KNOWN. MARINE AND ESTUARINE  DEMERSAL TELEOSTS INCLUDE 617 SPECIES IN 26 ORDERS AND 118 FAMILIES.  JUST OVER HALF THE SPECIES 337 ARE PERCIFORMES. OVEREXPLOITATION FOR  FOOD AND BY THE AQUARIUM FISH TRADE HABITAT DEGRADATION AND  DESTRUCTION ALIEN SPECIES INTRODUCTIONS PERNICIOUS TOURISM AND  POLLUTION ARE THE PRINCIPAL THREATS TO BRAZIL'S MARINE BIODIVERSITY. THE  MINISTER OF THE ENVIRONMENT LISTS 34 THREATENED AND 10 OVEREXPLOITED OR  AT RISK OF BEING OVEREXPLOITED BENTHIC SPECIES. FISHES OFFICIALLY LISTED  AS THREATENED INCLUDE 15 SPECIES OF SHARKS AND RAYS AND 7 TELEOSTS.  ANOTHER SIX ELASMOBRANCHS AND 27 TELEOSTS ARE CURRENTLY OR POTENTIALLY  BEING OVEREXPLOITED. CONSERVATION OF MARINE BIODIVERSITY IN BRAZIL IS  STILL BROADLY INADEQUATE DESPITE EXISTING LEGISLATION AND SEVERAL  PROTECTED AREAS. THE NUMBER AND SIZE OF MARINE PROTECTED AREAS ARE  INSUFFICIENT AND SOME STILL LACK MANAGEMENT PLANS OR HAVE YET TO  RECEIVE THE APPROPRIATE MEASURES AND INFRASTRUCTURE TO MAKE THEM  EFFECTIVE. FISHERIES ADMINISTRATION AND MANAGEMENT IS STILL PRECARIOUS  AND IN MANY AREAS LACKS EFFECTIVE PARTICIPATION OF LOCAL COMMUNITIES.  MAJOR CONSERVATION INITIATIVES INCLUDE THE IDENTIFICATION OF KEYS AREAS  FOR BIODIVERSITY CONSERVATION SURVEYS INTENSIFIED MONITORING OF  FISHERIES ENVIRONMENTAL EDUCATION AND THE CREATION AND IMPROVED  MANAGEMENT OF PROTECTED AREAS.,AMARAL ACZ 2005 CONSERV BIOL,Conservation of Marine and Coastal Biodiversity in Brazil,10.1111/j.1523-1739.2005.00692.x,AMARAL,Conservation Biology,1,1
95,ARAUJO GS 2020  ZOOL J LINN SOC,2020,Phylogeny of the comb-tooth blenny genus Scartella (Blenniiformes: Blenniidae) reveals several cryptic lineages and a trans-Atlantic relationship,reef fish, molecular phylogeny, cryptic species,Phylogeny of the comb-tooth blenny genus Scartella (Blenniiformes: Blenniidae) reveals several cryptic lineages and a trans-Atlantic relationship,10.1093/zoolinnean/zlz142,Araujo,Zoological Journal of the Linnean Society,1,1
97,AREIAS C 2020 MAR GEOL,2020,"Holocene sea-surface temperatures and related coastal upwelling regime recorded by vermetid assemblages, southeastern Brazil (Arraial do Cabo, RJ)",Vermetids, Stable isotopes, Palaeotemperature,"Holocene sea-surface temperatures and related coastal upwelling regime recorded by vermetid assemblages, southeastern Brazil (Arraial do Cabo, RJ)",10.1016/j.margeo.2020.106183,Areias,Marine Geology,1,1
132,BANHA TNS 2019 CORAL REEFS,2019,LOW CORAL MORTALITY DURING THE MOST INTENSE BLEACHING EVENT EVER RECORDED IN SUBTROPICAL SOUTHWESTERN ATLANTIC REEFS,CLIMATE CHANGE DEGREE HEATING WEEKS MARGINAL MUSSISMILIA SCLERACTINIA BRAZIL,CORAL REEFS GLOBALLY ARE THREATENED BY CLIMATE CHANGE BUT REEF ASSEMBLAGES AT HIGH LATITUDES MAY SERVE AS REFUGIA. MARGINAL CORAL COMMUNITIES LOCATED IN THE SUBTROPICAL SOUTHWESTERN ATLANTIC ARE POORLY STUDIED BUT WERE SUBJECT TO AN UNPRECEDENTED HEATWAVE AND ASSOCIATED CORAL BLEACHING IN 2019. RECORD VALUES OF 18.5 AND 20.5 �C-WEEKS WERE REGISTERED FOR COASTAL AND INSULAR SITES WHICH ARE THE HIGHEST EVER DOCUMENTED FOR A REEF IN THE SOUTH ATLANTIC. AS A CONSEQUENCE APPROXIMATELY 80% AND 20% OF THE POPULATION OF THE REEF-BUILDING CORAL�MUSSISMILIA HISPIDA�1116 COLONIES SURVEYED UNDERWENT BLEACHING IN COASTAL AND INSULAR SITES RESPECTIVELY. HOWEVER MORTALITY 2% WAS FAR LOWER THAN FOR EPISODES OF SIMILAR MAGNITUDE IN OTHER REGIONS PARTICULARLY IN THE INDO-PACIFIC. THEREFORE THE SUBTROPICAL SOUTHWESTERN ATLANTIC MCC DISPLAYED LOW MORTALITY AND REMARKABLE TOLERANCE WHEN EXPOSED TO THE MOST INTENSE BLEACHING EPISODE EVER RECORDED FOR THE REGION REINFORCING ITS POTENTIAL AS A REFUGIUM.,BANHA TNS 2019 CORAL REEFS,Low coral mortality during the most intense bleaching event ever recorded in subtropical Southwestern Atlantic reefs,10.1007/s00338-019-01856-y,Banha,Coral Reefs,1,1
134,BARBANTI SM 2011 ORG GEOCHEM,2011,NEW TRIAROMATIC STEROIDS DISTINGUISH PALEOZOIC FROM MESOZOIC OIL,NA BRAZILIAN MARGINAL BASINS MARINE DINOFLAGELLATE ORGANIC-MATTERFATTY-ACIDS SOFT CORAL CULTURED ZOOXANTHELLAE C-24 DIASTEREOMERS INPUT SOURCES FOSSIL-FUELS SOURCE ROCKS,CERTAIN BIOMARKERS IN PETROLEUM PROVIDE INFORMATION ON OF THE GEOLOGIC  AGE OF ITS SOURCE ROCK AND THESE CAN ALSO BE USED TO TRACK THE  EVOLUTION RADIATION AND RELATIONSHIPS BETWEEN TAXA AND AS PROXIES FOR  PALEOENVIRONMENTAL RECONSTRUCTION. TRIAROMATIC  2324-DIMETHYLCHOLESTEROIDS TA-DMC WHICH UNDOUBTEDLY DERIVE FROM  2324-DIMETHYLCHOLESTEROLS IN DINOFLAGELLATES HAPTOPHYTES AND DIATOMS  PROVIDE A USEFUL PARAMETER TO DISTINGUISH PALEOZOIC FROM MESOZOIC AND  YOUNGER OIL AND ROCK EXTRACTS AT HIGHER SPECIFICITY THAN PREVIOUSLY  PROPOSED BIOMARKERS. IN THIS REPORT WE PRESENT A STUDY OF THE RELATIVE  ABUNDANCE OF A NOVEL SERIES OF TA-DMC IN SOURCE ROCK EXTRACTS AND CRUDE  OIL FROM DIFFERENT GLOBAL LOCALITIES AND AGES. BASED ON THEIR TAXON  SPECIFICITY FOR IMPORTANT PRIMARY PRODUCERS SUCH BIOGEOCHEMICALS ALSO  HAVE IMPLICATIONS FOR PALEOENVIRONMENTAL STUDIES INCLUDING PALEOCLIMATE  AND GLOBAL CHANGE SUCH AS RADIATIONS FOLLOWING THE PERMIAN-TRIASSIC  BOUNDARY MASS EXTINCTION.,BARBANTI SM 2011 ORG GEOCHEM,New triaromatic steroids distinguish Paleozoic from Mesozoic oil,10.1016/j.orggeochem.2011.02.007,Barbanti,Organic Geochemistry,1,1
