;used;doi;logic;replace on DOI
1;ADELIR-ALVES J 2018 CHECKLIST;;FALSO;
2;AFFONSO P R A M 2007 ;;FALSO;
3;AGUILERA O 2020 MAR SEDMENT GEOL;;FALSO;
4;AJALA-BATISTA L 2020 MAR BIODIVERS;;FALSO;
5;;;VERDADEIRO;
6;;;VERDADEIRO;
7;;;VERDADEIRO;
8;ALMEIDA AO 2015 MARINE BIODIVERSITY RECORDS;ALMEIDA AO 2015 ;FALSO;ALMEIDA AO 2015 MARINE BIODIVERSITY RECORDS
9;ALMEIDA DF 2016 MARINE BIODIVERSITY RECORDS;ALMEIDA DF 2016 ;FALSO;ALMEIDA DF 2016 MARINE BIODIVERSITY RECORDS
10;ALVES ANDRE M 2019 ;;FALSO;
11;AMADO-FILHO 1997 ICRS8;;FALSO;
12;AMADO-FILHO 2016 MAR BIODIVER;;FALSO;
13;AMADO FILHO GILBERTO M 2006 ;;FALSO;
14;AMARAL 1997 ICRS8;;FALSO;
15;AMARAL 2000 ICRS9;;FALSO;
16;AMARAL FERNANDA DUARTE 2007 ;;FALSO;
17;AMARAL FERNANDA DUARTE 2007 -a;;FALSO;
18;AMARAL FERNANDA MARIA DUARTE DO 2014 ;;FALSO;
19;AMARAL FMD 2006 ARQ CIENC MAR;;FALSO;
20;AMARAL RF 2004 2004 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION VOLS 1- 5 PROCEEDINGS;AMARAL RF 2004 2004 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION VOLS 1 - 5 PROCEEDINGS;FALSO;AMARAL RF 2004 2004 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION VOLS 1- 5 PROCEEDINGS
21;ANDERSON 2017 AQUA;;FALSO;
22;ANDERSON AB 2015 CHECKLIST;;FALSO;
23;ANDERSON ANTONIO B 2020 J FISH BIOL;;FALSO;
24;ANDERSON ANTONIO B 2020 J FISH BIOL-a;;FALSO;
