decimallongitude,decimallatitude,DOI,Year,Paper_ID
-19.85,-40.05,,2012,MIRLEAN N 2012 CONT SHELF RES
-51.863,-34.074,NA,1994,HAIMOVICI M 1994 MAR ECOL -PROG SER
-53.37,-33.743,10.1007/s12526-020-01133-0,2020,"AJALA-BATISTA L, 2020, MAR BIODIVERS"
-50,-33.7213889,,2014,LOPES RP 2014 AN ACAD BRAS CIENC
-53.108,-33.547,http://dx.doi.org/10.1177/0959683618824739,2019,DE SOUZA TAMEGA FT 2019 HOLOCENE
-51.783,-32.267,http://dx.doi.org/10.1071/MF13120,2014,CONDINI MV 2014 MAR FRESHW RES
-52.098,-32.161,http://dx.doi.org/10.1590/S1679-62252011005000006,2011,CONDINI MV 2011 NEOTROP ICHTHYOL
-52.098,-32.161,http://dx.doi.org/10.1590/S1679-62252011005000038,2011,SEYBOTH E 2011 NEOTROP ICHTHYOL
-51,-30,,2016,DOS SANTOS-FISCHER CB 2016 PALEOGEOGR PALEOCLIMATOL PALEOECOL
-48.754,-28.494,http://dx.doi.org/10.1007/s11356-018-2012-4,2018,FARIAS EGG 2018 ENVIRON SCI POLLUT RES
-48.202,-28.356,NA,2000,BAKER RGV 2000 MAR GEOL
-46.821,-28.348,http://dx.doi.org/10.1080/17451000.2013.797587,2014,LOPES DA 2014 MAR BIOL RES
-48.79,-28.177,http://dx.doi.org/10.1111/jfb.13363,2017,ANDERSON AB 2017 J FISH BIOL
-48.4296583,-27.8457778,,2014,BORGES VP 2014 PHYTOTAXA
-48.433,-27.833,http://dx.doi.org/10.1111/jfb.13482,2017,MORAIS RA 2017 J FISH BIOL
-48.493611,-27.756944,10.1016/j.rsma.2022.102330,2022,"DA SILVA JUNIOR CA, 2022, REG STUD MAR SCI"
-48.383333,-27.6,10.1590/1982-0224-2021-0010,2021,"CHAVES LCT, 2021, NEOTROP ICHTHYOL"
-48.383,-27.6,http://dx.doi.org/10.1111/j.1095-8649.2012.03441.x,2012,LONGO GO 2012 J FISH BIOL
-48.544,-27.594,,2014,ANDERSON AB 2014 MAR ECOL -PROG SER
-48.544,-27.594,,2015,ANDERSON AB 2015 CHECKLIST
-48.544,-27.594,,2019,ANDERSON AB 2019 MAR BIODIVERS
-48.544,-27.594,10.1111/jfb.14441,2020,"ANDERSON AB, 2020, J FISH BIOL"
-48.544,-27.594,10.1111/jfb.14365,2020,"ANDERSON AB, 2020, J FISH BIOL-a"
-48.544,-27.594,,2012,DALBEN A 2012 J FISH BIOL
-48.544,-27.594,,2006,DUBIASKI-SILVA J 2006 J COAST RES
-48.544,-27.594,,2006,DUBIASKI-SILVA J 2006 J COAST RES-a
-48.544,-27.594,,2008,DUBIASKI-SILVA J 2008 J NAT HIST
-48.544,-27.594,,2020,GORMAN D 2020 GLOB CHANG BIOL
-48.544,-27.594,,2007,KRAJEWSKI JP 2007 J MAR BIOL ASSOC U K
-48.544,-27.594,,2016,LABBE-BELLAS R 2016 REG STUD MAR SCI
-48.544,-27.594,,2018,LASTRUCCI NS 2018 J FISH BIOL
-48.544,-27.594,,2020,LIEDKE ANA MR 2020 
-48.544,-27.594,,2009,MEIRELLES ME 2009 AQUAC RES
-48.544,-27.594,,2018,QUIMBAYO JP 2018 ENVIRON BIOL FISHES
-48.544,-27.594,,2018,RICH WA 2018 MAR ENVIRON RES
-48.544,-27.594,,2019,SCHUBERT N 2019 SCI TOTAL ENVIRON
-48.544,-27.594,,2014,VIEIRA-PINTO T 2014 PHYTOTAXA
-48.617,-27.567,http://dx.doi.org/10.1007/s00338-007-0349-0,2008,NUNES F 2008 CORAL REEFS
-48.4333333,-27.5666667,,2012,PAGLIOSA PR 2012 BRAZ J OCEANOGR
-48.517,-27.5,http://dx.doi.org/10.1017/S0025315415001034,2016,LESSA R 2016 J MAR BIOL ASSOC U K
-48.3666667,-27.2916667,,2011,HORTA PA 2011 
-48.366667,-27.286389,10.1016/j.ecolind.2021.108465,2021,"GIRALDES BW, 2021, ECOL INDIC"
-48.3666667,-27.2833333,,2013,PASCELLI C 2013 AQUAT BOT
-48.4667,-27.2833,,2006,GODOY EAS 2006 J COAST RES
-48.367,-27.283,http://dx.doi.org/10.1038/s41598-019-50442-3,2019,CAPEL KCC 2019 SCI REP
-48.367,-27.283,http://dx.doi.org/10.7717/peerj.3873,2017,CRUZ CAPEL KC 2017 PEERJ
-48.3,-27.283,http://dx.doi.org/10.1111/j.0022-1112.2006.00947.x,2006,KRAJEWSKI JP 2006 J FISH BIOL
-48.35,-27.283,http://dx.doi.org/10.1017/S0025315411000865,2012,MARTINEZ AS 2012 J MAR BIOL ASSOC U K
-48.3,-27.283,http://dx.doi.org/10.1007/s00227-013-2304-7,2013,REISSER J 2013 MAR BIOL
-48.37716,-27.275056,,2010,FARIAS JN 2010 PHYCOL RES
-48.34,-27.275,http://dx.doi.org/10.1111/jpy.12917,2019,COSTA IO 2019 J PHYCOL
-48.367,-27.274,10.1016/j.marenvres.2021.105394,2021,"KOERICH G, 2021, MAR ENVIRON RES"
-48.3322222,-27.2702778,,2014,BORGES VP 2014 PHYTOTAXA
-48.37,-27.27,http://dx.doi.org/10.1007/s00338-019-01870-0,2020,ALMEIDA SAA AC 2020 CORAL REEFS
-48.3167,-27.2667,,2006,ROCHA RM 2006 J COAST RES
-48.417,-27.25,http://dx.doi.org/10.1080/14772000.2016.1140245,2016,BRANDAO MC 2016 SYST BIODIVERS
-48.416667,-27.25,,2004,GHERARDI DOUGLAS F M 2004 
-48.411389,-27.183056,10.1007/s00227-021-04009-4,2022,"CANTERLE AM, 2022, MAR BIOL"
-48.4833,-27.15,,2003,MACHADO 2003 AQUA
-48.5333,-27.1333,,2006,JARDEWESKI CLF 2006 J COAST RES
-48.066667,-27.05,10.1016/j.marenvres.2021.105519,2022,"LANARI M, 2022, MAR ENVIRON RES"
-48.4822,-26.6697,,2009,GERHARDINGER LC 2009 NEOTROP ICHTHYOL
-48.5166667,-26.3666667,,2011,LACERDA MB 2011 ZOOKEYS
-48.0667,-26.25,,2006,GERHARDINGER LC 2006 NEOTROP ICHTHYOL
-45.7,-26.1,,2001,NOGUEIRA JMD 2001 J MAR BIOL ASSOC U K
-45.7,-26.1,,2001,NOGUEIRA JMD 2001 PROC BIOL SOC WASH
-45.7,-26.1,,2001,NOGUEIRA JMM 2001 SCI MAR
-48.5833333,-25.9666667,,2011,BRANDINI F 2011 BRAZ J OCEANOGR
-48.65,-25.867,http://dx.doi.org/10.1590/S1679-87592016104506401,2016,CASTILHO WESTPHAL GG 2016 BRAZ J OCEANOGR
-48.65,-25.867,http://dx.doi.org/10.1590/S1984-46702009000200009,2009,DE PAIVA ACG 2009 ZOOLOGIA
-48.65,-25.867,http://dx.doi.org/10.1007/s10750-011-0980-1,2012,TEIXEIRA TP 2012 HYDROBIOLOGIA
-48.6,-25.8666667,,2015,POSSAMAI B 2015 SCI MAR
-48.4,-25.83333,10.1590/2675-2824069.21-002cba,2021,"ALEGRETTI CB, 2021, OCEAN COAST RES"
-48.462,-25.762,http://dx.doi.org/10.1080/10236244.2015.1024078,2015,AMADO EM 2015 MAR FRESHW BEHAV PHYSIOL
-48.364,-25.736,http://dx.doi.org/10.1111/jfb.13791,2018,SOETH M 2018 J FISH BIOL
-48.3666667,-25.7333333,,2012,DAROS FA 2012 CHECKLIST
-48.35,-25.7333333,,2011,WERNER HACKRADT C 2011 MAR ENVIRON RES
-48.367,-25.733,http://dx.doi.org/10.1590/S1984-46702009000400016,2009,LORENZI L 2009 ZOOLOGIA
-48.3,-25.566667,,2009,OCCHIONI GE 2009 ZOOLOGIA
-48.293,-25.538,http://dx.doi.org/10.1017/S0025315410000780,2011,SOUZA DOS SANTOS A 2011 J MAR BIOL ASSOC U K
-48.331,-25.535,http://dx.doi.org/10.1590/1676-060320140615183049,2014,PELLIZZARI F 2014 BIOTA NEOTROP
-48.0488889,-25.5047222,,2018,ADELIR-ALVES J 2018 CHECKLIST
-48.0488889,-25.5047222,,2018,ADELIR-ALVES J 2018 MAR BIOL RES
-48.0488889,-25.5047222,,2015,ALTVATER L 2015 J EXP MAR BIOL ECOL
-48.0488889,-25.5047222,,2018,BORNATOWSKI H 2018 J FISH BIOL
-48.0488889,-25.5047222,,2014,BRANDINI F 2014 REG ENVIR CHANG
-48.0488889,-25.5047222,,2016,BUENO LS 2016 J FISH BIOL
-48.0488889,-25.5047222,,2015,"BUENO LS, 2015, MARINE BIODIVERSITY RECORDS"
-48.0488889,-25.5047222,,2016,BUMBEER J 2016 BIOTA NEOTROP
-48.0488889,-25.5047222,,2016,DAROS FA 2016 REG STUD MAR SCI
-48.0488889,-25.5047222,,2018,DAROS FA 2018 LAT AM J AQUAT RES
-48.0488889,-25.5047222,,2007,DE SOUZA LM 2007 CHEM PHYS LIPIDS
-48.0488889,-25.5047222,,2008,FELIX-HACKARDT FC 2008 NAT CONSERV
-48.0488889,-25.5047222,,2013,GUEBERT FM 2013 J COAST RES
-48.0488889,-25.5047222,,2015,GUSMAO-JUNIOR JBL 2015 HYDROBIOLOGIA
-48.0488889,-25.5047222,,2009,HACKRADT CARLOS WERNER 2009 
-48.0488889,-25.5047222,,2010,ROCHA RM 2010 BRAZ J OCEANOGR
-48.0488889,-25.5047222,,2018,SPIER D 2018  BIOTA NEOTROP
-48.5,-25.5,http://dx.doi.org/10.1590/S1984-46702012000200005,2012,BUMBEER JA 2012 ZOOLOGIA
-48.25,-25.5,10.1016/j.seares.2020.101994,2021,"DERVICHE P, 2021, J SEA RES"
-48.417,-25.5,http://dx.doi.org/10.1111/jfb.12667,2015,MEDEIROS AM 2015 J FISH BIOL
-48.667,-25.5,http://dx.doi.org/10.1017/S0025315418000802,2019,SANTOS JNS 2019 J MAR BIOL ASSOC U K
-48,-25.5,,2020,SOETH M 2020 MAR POLLUT BULL
-48.4166667,-25.5,,2012,"SPIER D, 2012, MARINE BIODIVERSITY RECORDS"
-48.386,-25.446,http://dx.doi.org/10.1007/s10616-014-9809-x,2016,CIPRIANO RR 2016 CYTOTECHNOLOGY
-47.91666667,-25.43333333,,2009,MARTIN D 2009 ZOOSYMPOSIA
-48.418,-25.41,http://dx.doi.org/10.1007/s10750-019-3938-3,2019,BOSCO GUSMAO J 2019 HYDROBIOLOGIA
-45.1333333,-25.2666667,,2012,"CORDEIRO RTS, 2012, MARINE BIODIVERSITY RECORDS"
-47.95,-25.017,http://dx.doi.org/10.1007/s10641-006-9043-2,2006,SILVANO RAM 2006 ENVIRON BIOL FISHES
-48,-25,,2020,DO AMARAL VS 2020 REG STUD MAR SCI
-40,-25,,2019,MAZZUCO ACA 2019 MAR ENVIRON RES
-46.3245,-25,,2019,"STORI FT, 2019, OCEAN COASTAL MANAGE"
-46.6667,-24.4833,,2019,PEREIRA-FILHO GH 2019 BULL MAR SCI
-46.667,-24.483,10.1007/s12526-021-01221-9,2021,"GRILLO AC, 2021, MAR BIODIVERS"
-46.175,-24.332,NA,2000,SAZIMA I 2000 ENVIRON BIOL FISHES
-46.183,-24.317,http://dx.doi.org/10.1080/07924259.2002.9652505,2002,FRANCINI CLB 2002 INVERTEBR REPROD DEV
-46.183,-24.317,NA,2000,NOGUEIRA JMD 2000 BULL MAR SCI
-46.1833,-24.3167,,2003,NOGUEIRA JMD 2003 J MAR BIOL ASSOC U K
-46.183333,-24.316667,,2001,NOGUEIRA JMD 2001 J MAR BIOL ASSOC U K
-46.183333,-24.316667,,2001,NOGUEIRA JMD 2001 J NAT HIST
-46.1667,-24.25,,2006,AMADO FILHO GILBERTO M 2006 
-46.1667,-24.25,,2009,CARVALHO-FILHO A 2009 ZOOTAXA
-46.1667,-24.25,,2008,LUIZ OJ 2008 ZOOTAXA
-46.167,-24.25,http://dx.doi.org/10.1007/s10228-008-0060-3,2009,LUIZ OJ 2009 ICHTHYOL RES
-46.16666667,-24.25,,2009,LUIZ OJ 2009 ZOOTAXA
-46.167,-24.25,http://dx.doi.org/10.1590/S1679-62252010000200016,2010,LUIZ OJ 2010 NEOTROP ICHTHYOL
-46.1666667,-24.25,,2014,LUIZ OJ 2014 BULL MAR SCI
-46.167,-24.25,http://dx.doi.org/10.1111/j.0022-1112.2004.00519.x,2004,LUIZ-JUNIOR OJ 2004 J FISH BIOL
-46.783,-24.2,NA,1982,TARARAM AS 1982 BOLM INST OCEANOG
-46.795,-24.194,,2012,SILVA JN 2012 OCEAN COASTAL MANAGE
-45.7,-24.1,,2001,DE MOURA RL 2001 BULL MAR SCI
-45.7,-24.1,,2002,MOURA RL 2002 PROC BIOL SOC WASH
-45.7,-24.1,NA,2000,NOGUEIRA JMD 2000 BULL MAR SCI
-45.692,-24.091,10.1007/s12526-020-01077-5,2020,"KITAHARA MV, 2020, MAR BIODIVERS"
-45.692,-24.091,10.1016/j.ocecoaman.2020.105246,2020,"MARCONI M, 2020, OCEAN COASTAL MANAGE"
-45.692,-24.091,,2019,ROLIM FA 2019 PLOS ONE
-45.692,-24.091,10.1186/s42523-020-00047-3,2020,"ZANOTTI AA, 2020, ANIM MICROBIOME"
-46.3245,-24.0086,,2020,CARMINATTO AA 2020 ECOL INDIC
-46.3245,-24.0086,,2014,FARONI-PEREZ L 2014 IHERINGIA SER ZOOL
-46.3245,-24.0086,,2019,GIGLIO VJ 2019 OCEAN COASTAL MANAGE
-46.3245,-24.0086,,2020,GORMAN D 2020 GLOB CHANG BIOL
-46.3245,-24.0086,,2018,GRILLO AC 2018 MAR ECOL -EVOL PERSP
-46.3245,-24.0086,,2016,LIMA EG 2016 MAR POL
-46.3245,-24.0086,,2010,MANGINI A 2010 EARTH PLANET SCI LETT
-46.3245,-24.0086,,2020,MIRANDA VINICIUS DA ROCHA 2020 
-46.3245,-24.0086,,2013,SHARP A 2013 PETROL GEOSCI
-46.3245,-24.0086,,2004,SUMIDA PYG 2004 MAR GEOL
-45,-24,10.1007/s00338-019-01856-y,2020,"BANHA TNS, 2020, CORAL REEFS"
-46,-24,10.1016/j.rsma.2021.101951,2021,"MOTTA FS, 2021, REG STUD MAR SCI"
-46,-24,10.1016/j.fishres.2022.106339,2022,"MOTTA FS, 2022, FISH RES"
-35,-24,10.1016/j.jsames.2022.103837,2022,"OLSEN WS, 2022, J SOUTH AM EARTH SCI"
-46,-24,10.1590/2358-2936e2020031,2020,"ROCHA DE MORAES IR, 2020, NAUPLIUS"
-42.2333,-24,,2003,SIMONE LRL 2003 J MOLLUSCAN STUD
-46,-24,10.1590/2675-2824070.21108tht,2022,"TREVIZANI TH, 2022, OCEAN COAST RES"
-46.3667,-23.9833,,2003,NOGUEIRA JMD 2003 SCI MAR
-42,-23.9666,10.1016/j.fishres.2021.105988,2021,"BARBOSA MC, 2021, FISH RES"
-42,-23.9666,10.1590/0001-3765202120200583,2021,"COUTO TDTC, 2021, AN ACAD BRAS CIENC"
-42.7,-23.883,,2004,ANDRADE A 2004 AQUA
-42.0167,-23.8667,,2006,ZILBERBERG C 2006 J EXP MAR BIOL ECOL
-45.416,-23.85,http://dx.doi.org/10.1080/09593330802379466,2008,DA SILVA M 2008 ENVIRON TECHNOL
-45.167,-23.844,http://dx.doi.org/10.1371/journal.pone.0111626,2014,CARLOS C 2014 PLOS ONE
-45.167,-23.844,http://dx.doi.org/10.1007/s00294-016-0658-3,2017,CARLOS C 2017 CURR GENET
-45.4164,-23.8403,,2008,CHIMETTO LA 2008 SYST APPL MICROBIOL
-45.416,-23.84,http://dx.doi.org/10.1111/j.1365-2672.2009.04149.x,2009,CHIMETTO LA 2009 J APPL MICROBIOL
-45.4233333,-23.8288889,,2012,VIEIRA EA 2012 J EXP MAR BIOL ECOL
-45.392,-23.828,http://dx.doi.org/10.1007/s10211-011-0094-9,2011,BESSA E 2011 ACTA ETHOL
-45.441,-23.828,http://dx.doi.org/10.1007/s10530-019-01921-1,2019,MADEIRA C 2019 BIOL INVASIONS
-45.4399,-23.8255,,2008,DE FARIA MT 2008 J INVERTEBR PATHOL
-45.419444,-23.823889,,2010,BUENO M 2010 MAR ECOL -PROG SER
-45.41,-23.822,http://dx.doi.org/10.1590/S1679-87592007000300004,2007,BESSA E 2007 BRAZ J OCEANOGR
-45.4,-23.817,http://dx.doi.org/10.1007/s10750-018-3661-5,2018,CARVALHO NF 2018 HYDROBIOLOGIA
-45.4167,-23.8167,,2006,DE MATOS NOGUEIRA JM 2006 ZOOL STUD
-45.4166667,-23.8166667,,2012,BESSA E 2012 LAT AM J AQUAT RES
-45.407,-23.815,http://dx.doi.org/10.1007/s10661-015-4650-z,2015,PETRACCO M 2015 ENVIRON MONIT ASSESS
