;X;PY;TI;DE;AB;SR;DI;;;;;;;;;;;;;;;;;;
60;MENDONCA DINIZ MT, 2019, ATELIE GEOGR;2019;INTERACTIONS BETWEEN ATMOSPHERE-LAND-OCEAN AND THEIR REPERCUSSIONS ON THE MEAN PRECIPITATION RECORDED IN THE EASTERN NORTHEAST OF BRAZIL;REGIONAL GEOGRAPHY;;;;;;;;;;;;;;;;;;;;;
188;MOREIRA JC, 2019, AN BRAS ESTUD TURISTICOS-ABET;2019;VISITOR'S PROFILE, PERCEPTION AND OBSERVATION OF WILD ANIMALS: CASE STUDY IN FERNANDO DE NORONHA NATIONAL MARINE PARK (PERNAMBUCO-BRAZIL);OBSERVATION OF WILD ANIMALS;;;;;;;;;;;;;;;;;;;;;
278;LUZ BLP, 2018, J EXP MAR BIOL ECOL;2018;A POLYP FROM NOTHING: THE EXTREME REGENERATION CAPACITY OF THE ATLANTIC INVASIVE SUN CORALS TUBASTRAEA COCCINEA AND T-TAGUSENSIS (ANTHOZOA, SCLERACTINIA);TUBASTRAEA;;;;;;;;;;;;;;;;;;;;;
300;SANCHEZ-NOGUERA C, 2018, REV BIOL TROP;2018;COASTAL DEVELOPMENT AND MARINE ECOSYSTEMS IN CULEBRA BAY, GUANACASTE, COSTA RICA;CORAL REEFS;;;;;;;;;;;;;;;;;;;;;
333;ESMI E, 2018, DATA SCIENCE AND KNOWLEDGE ENGINEERING FOR SENSING DECISION SUPPORT;2018;AN APPROACH TO RECOGNIZE CORAL SPECIES ON THE COAST OF BRAZIL USING IMAGE ANALYSIS AND FUZZY ASSOCIATIVE MEMORIES BASED ON EQUIVALENT MEASURES;CLASSIFICATION OF CORAL SPECIES;;;;;;;;;;;;;;;;;;;;;
372;LOPES EM, 2017, REV BIOL TROP;2017;OCCURRENCE OF THE GENUS PSEUDOBOLETIA (ECHINOIDEA: TOXOPNEUSTIDAE) IN THE SOUTH-WESTERN ATLANTIC: MORPHOLOGICAL AND MOLECULAR APPROACHESELINIA;SEA URCHIN;;;;;;;;;;;;;;;;;;;;;
398;CACERES-CHAMIZO JP, 2017, ZOOTAXA;2017;REVISION OF THE RECENT SPECIES OF EXECHONELLA CANU \& BASSLER IN DUVERGIER, 1924 AND ACTISECOS CANU \& BASSLER, 1927 (BRYOZOA, CHEILOSTOMATA): SYSTEMATICS, BIOGEOGRAPHY AND EVOLUTIONARY TRENDS IN SKELETAL MORPHOLOGY;BRYOZOANS;;;;;;;;;;;;;;;;;;;;;
495;TORRANO-SILVA BN, 2017, PHYCOLOGIA;2017;DNA BARCODING OF LITHOPHYLLOIDEAE (CORALLINALES) REVEALS UNKNOWN DIVERSITY IN BRAZIL;NA;NA;TORRANO-SILVA BN, 2017, PHYCOLOGIA;NA;;;;;;;;;;;;;;;;;;
618;TAMEGA FTS, 2016, PHYTOTAXA;2016;TAXONOMIC ASSESSMENT OF FOSSIL HOLOCENE CORALLINE RED ALGAE (RHODOPHYTA, CORALLINALES, HAPALIDIALES) FROM SOUTHWESTERN ATLANTIC;BRAZIL;;;;;;;;;;;;;;;;;;;;;
619;ZANELLA I, 2016, REV BIOL TROP;2016;SHARK POPULATIONS IN CHATHAM AND WAFER BAYS, ISLA DEL COCO NATIONAL PARK, COSTA RICA;WHITETIP SHARK;;;; IN TURN A SEX RATIO OF 1.01 MALES PER FEMALE WAS OBSERVED (X-2=0.04; P=0.79) FOR C. LIMBATUS. THE AVERAGE TOTAL LENGTH FOR T. OBESUS AND C. LIMBATUS WAS 103.66 +/- 13.91 CM AND 76.58 +/- 14.56 CM RESPECTIVELY; SUGGESTING THAT BLACK TIP SHARKS USE THOSE BAYS DURING IMMATURE STAGES. THE RESULTS SHOW AN INTERSPECIFIC SPATIAL SEGREGATION OF THE MOST COMMON RESIDENT SHARKS AT ICNP, APPARENTLY THE CLEAR WATERS AND THE CORAL COVER OF CHATHAM BAY ARE PREFERRED BY T. OBESUS;" WHILE THE TURBID WATERS OF THE GENIO RIVER MOUTH ARE PREFERRED BY C. LIMBATUS."",""ZANELLA I, 2016, REV BIOL TROP"",NA";;;;;;;;;;;;;;
